variant,quarter,snapshot_date,miss_rank,ticker,why_missed,entry_score_0_100,tier_0_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,hp0_high_price_broad,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch,hp_production_extension,hp_research_extension,hp_LLM_best,rm1_low_price_dislocation_momentum,rm2_weak_acceleration,rm3_mid_price_dislocation_momentum,rm4_persistent_repricing_wave,rm_buy_review_flag,primary_theme,secondary_themes,theme_role,theme_confidence,theme_driver_type,theme_momentum,theme_acceleration_score,theme_tailwind_score,theme_acceleration_research_visibility,theme_acceleration_rescan_flag,akg_universe_tier,tier_structure_score,hp_structure_score,scoring_formula_version,tier_rule_version,hp_rule_version,rm_rule_version,theme_rule_version,return_20d_pct,return_60d_pct,winner_90d_30pct,loser_90d_minus30pct,return_10d_pct,return_30d_pct,return_90d_pct
entry_score_top10,2021Q4,11/2/21,13,LXU,NOT_IN_TOP10,69,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,9.5135,21.0811,False,False,2.054,0.3243,5.0811
entry_score_top10,2021Q4,11/10/21,14,RSVR,NOT_IN_TOP10,69,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-23.1959,-24.6392,False,True,-17.3196,-21.4433,-43.0928
entry_score_top10,2021Q4,11/4/21,15,STGW,NOT_IN_TOP10,68,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,-21.5569,-16.5669,False,False,-2.0958,-17.1657,-25.4491
entry_score_top10,2021Q4,11/5/21,16,IRWD,NOT_IN_TOP10,66,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,18,0,,,,,,-11.639,-7.1259,False,False,-3.4838,-11.4014,-10.8472
entry_score_top10,2021Q4,10/25/21,17,STX,NOT_IN_TOP10,66,,,,,,HP0 - High-price broad watchlist,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension,1,,,,,0,,,,,,,,0,,,,0,10,,,,,,19.2685,28.2425,False,False,7.5742,14.0535,9.6738
entry_score_top10,2021Q4,11/18/21,18,BV,NOT_IN_TOP10,64,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,18,0,,,,,,-2.0202,-6.6667,False,False,-4.8485,-10.8418,-9.495
entry_score_top10,2021Q4,11/4/21,19,QUAD,NOT_IN_TOP10,64,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,-14.375,-15.625,False,False,-10.4167,-23.9583,-9.1667
entry_score_top10,2021Q4,11/3/21,20,AHRT,NOT_IN_TOP10,63,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,18,0,,,,,,1.1676,5.9753,False,False,2.9533,-2.3352,-4.6016
entry_score_top10,2022Q1,2/2/22,1,SMCI,NOT_IN_TOP10,79,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,0,,,,,,,,0,,,,30,0,,,,,,-9.9724,-13.2813,False,False,-12.523,-4.4807,-0.6664
entry_score_top10,2022Q1,2/2/22,2,SXC,NOT_IN_TOP10,79,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,10.2857,26.7143,False,False,10.1429,39,19.5714
entry_score_top10,2022Q1,3/11/22,3,TH,NOT_IN_TOP10,79,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,1,,,,,,,,0,,,,30,0,,,,,,22.449,36.9388,True,False,18.1633,16.1224,36.3265
entry_score_top10,2022Q1,2/4/22,4,UTI,NOT_IN_TOP10,79,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,1.1834,5.9172,False,False,6.9823,1.5385,18.4615
entry_score_top10,2022Q1,3/18/22,5,DBI,NOT_IN_TOP10,78,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,-1.8297,1.3371,False,False,-2.3223,4.5039,-2.9557
entry_score_top10,2022Q1,3/24/22,6,JILL,NOT_IN_TOP10,78,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,4.5859,22.7926,False,False,1.3005,6.434,26.694
entry_score_top10,2022Q1,3/3/22,7,RMNI,NOT_IN_TOP10,78,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,1.2324,2.993,False,False,-10.3873,7.3944,15.1408
entry_score_top10,2022Q1,3/16/22,8,JBI,NOT_IN_TOP10,77,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-4.0992,-2.4811,False,False,-0.3236,-0.4315,0.863
entry_score_top10,2022Q1,4/1/22,9,ALTG,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,-13.1714,-20.7505,False,True,-11.847,-16.0412,-33.9956
entry_score_top10,2022Q1,2/16/22,10,CRK,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,25,0,,,,,,29.0934,144.3843,True,False,12.3139,27.0636,125.7104
entry_score_top10,2022Q1,3/9/22,11,HRTG,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,12.6935,-48.6068,False,True,10.6811,-0.3096,-38.0805
entry_score_top10,2022Q1,3/17/22,12,PANL,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-16.7832,-3.6713,False,False,-1.5734,-6.2937,-1.9231
entry_score_top10,2022Q1,2/16/22,13,UFCS,NOT_IN_TOP10,75,,,,,,HP0 - High-price broad watchlist,,HP2 - Dislocation momentum re-rater,,,,HP production extension,HP research extension,1,,,,,0,,,,,,,,0,,,,0,18,,,,,,-3.1535,3.609,False,False,-3.2586,-0.4555,8.8647
entry_score_top10,2022Q1,3/11/22,14,SMHI,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,RM1 - Low-price dislocation momentum,RM2 - Weak-bucket acceleration,,,1,,,,,,,,0,,,,29,0,,,,,,34.5,30,True,False,-4.1667,23,47.5
entry_score_top10,2022Q1,2/23/22,15,WTTR,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,5.6505,-0.3942,False,False,28.1209,22.7332,11.4323
entry_score_top10,2022Q1,3/18/22,16,DXLG,NOT_IN_TOP10,73,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,1.7857,-5.9524,False,False,0.1984,7.3413,-22.4206
entry_score_top10,2022Q1,2/11/22,17,EPM,NOT_IN_TOP10,73,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,20.5502,14.4013,False,False,15.2104,9.2233,1.9418
entry_score_top10,2022Q1,3/2/22,18,TILE,NOT_IN_TOP10,72,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,18,0,,,,,,-2.6316,-9.1038,False,False,-9.3172,-1.4936,2.3471
entry_score_top10,2022Q1,3/10/22,19,WTI,NOT_IN_TOP10,72,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-26.4815,-8.7037,True,False,-18.1481,-22.7778,61.4815
entry_score_top10,2022Q1,2/11/22,20,BTU,NOT_IN_TOP10,71,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,22,0,,,,,,53.3378,94.5928,True,False,12.1495,32.5768,34.4459
entry_score_top10,2022Q2,5/11/22,1,ZETA,NOT_IN_TOP10,78,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-1.3648,-41.6874,False,False,-0.6203,-20.5955,-17.7419
entry_score_top10,2022Q2,5/11/22,2,ARLO,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,4.8889,-8.1482,False,False,1.037,1.3333,6.3704
entry_score_top10,2022Q2,5/6/22,3,CCC,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-0.5663,7.1348,False,False,-6.0023,7.0215,12.231
entry_score_top10,2022Q2,5/11/22,4,CECO,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,18.3365,13.4216,True,False,14.7448,22.3062,69.5652
entry_score_top10,2022Q2,4/28/22,5,EXTR,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,3.5903,0.3168,False,False,-1.7951,4.7518,21.1193
entry_score_top10,2022Q2,5/5/22,6,EZPW,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-0.9485,2.71,False,False,-2.71,6.6396,13.9566
entry_score_top10,2022Q2,5/11/22,7,FWRG,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,19.5489,7.8195,False,False,9.0977,11.8797,26.4662
entry_score_top10,2022Q2,5/3/22,8,HLIT,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-4.8255,-11.499,False,False,-4.7228,5.8522,11.3963
entry_score_top10,2022Q2,5/11/22,9,PANL,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,34.2,-3.8,False,False,32.6,20.8,-3
entry_score_top10,2022Q2,5/3/22,10,SXC,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,0.3727,-19.7516,False,False,-4.8447,3.4783,-9.1925
entry_score_top10,2022Q2,5/6/22,11,DNOW,NOT_IN_TOP10,75,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,-2.9333,-17.7778,False,False,-6.1333,5.1556,0.1778
entry_score_top10,2022Q2,5/11/22,12,LMB,NOT_IN_TOP10,75,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,-8.6207,-5.2586,False,False,2.5172,8.7931,-3.2759
entry_score_top10,2022Q2,6/10/22,13,GHM,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-24.6187,-10.6754,False,False,-22.0044,-24.8366,9.4771
entry_score_top10,2022Q2,5/10/22,14,GNE,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,29,0,,,,,,31.0509,42.0382,True,False,14.6497,35.1911,57.6433
entry_score_top10,2022Q2,5/9/22,15,TILE,NOT_IN_TOP10,74,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,18,0,,,,,,12.5978,0,False,False,6.7293,15.1017,-1.7997
entry_score_top10,2022Q2,5/11/22,16,AROC,NOT_IN_TOP10,73,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,14.8912,-7.9038,False,False,6.6438,10.4238,-13.0584
entry_score_top10,2022Q2,4/28/22,17,WNC,NOT_IN_TOP10,73,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,22,0,,,,,,0.2719,-2.0394,False,False,-3.739,4.3508,13.5282
entry_score_top10,2022Q2,5/10/22,18,HIMS,NOT_IN_TOP10,72,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",,,,,,,,,0,,,,,1,,,,,,,,0,,,,30,0,,,,,,3.856,38.3033,True,False,-9.7686,0.7712,71.4653
entry_score_top10,2022Q2,4/7/22,19,RELL,NOT_IN_TOP10,72,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,18,0,,,,,,-4.3443,15.6879,False,False,-2.2526,-3.3789,17.0555
entry_score_top10,2022Q2,5/4/22,20,WTI,NOT_IN_TOP10,72,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,17.2888,-22.9862,False,False,12.5737,54.4204,-2.7505
entry_score_top10,2022Q3,9/14/22,1,RLGT,NOT_IN_TOP10,81,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-13.4286,-17,False,False,-19.2857,-20.2857,-25.7143
entry_score_top10,2022Q3,7/21/22,2,SMCI,NOT_IN_TOP10,81,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,18.4352,7.7309,False,False,2.6575,26.2776,3.3079
entry_score_top10,2022Q3,8/5/22,3,CVGI,NOT_IN_TOP10,80,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,-3.7685,-36.6083,False,True,1.2113,-18.4388,-30.821
entry_score_top10,2022Q3,8/10/22,4,INSW,NOT_IN_TOP10,80,,,,,,HP0 - High-price broad watchlist,,HP2 - Dislocation momentum re-rater,,,,HP production extension,HP research extension,1,,,,,0,,,,,,,,0,,,,0,18,,,,,,7.0182,24.7636,True,False,9.0545,18.2909,64.2545
entry_score_top10,2022Q3,8/1/22,5,GHM,NOT_IN_TOP10,79,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,23.0337,23.4551,False,False,27.809,33.8483,25
entry_score_top10,2022Q3,8/4/22,6,MEC,NOT_IN_TOP10,79,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,5.3824,-6.6572,False,False,10.1983,-3.1161,10.7649
entry_score_top10,2022Q3,7/28/22,7,RES,NOT_IN_TOP10,79,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-8.5,-19.75,False,False,-9.75,3.375,26.75
entry_score_top10,2022Q3,8/2/22,8,RNGR,NOT_IN_TOP10,79,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,-2.968,10.7306,False,False,1.5982,7.8767,19.863
entry_score_top10,2022Q3,7/11/22,9,TH,NOT_IN_TOP10,78,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,1,,,,,,,,0,,,,29,0,,,,,,83.9005,77.356,True,False,62.6963,65.445,53.0105
entry_score_top10,2022Q3,8/11/22,10,HAE,NOT_IN_TOP10,77,,,,,,HP0 - High-price broad watchlist,,HP2 - Dislocation momentum re-rater,,,,HP production extension,HP research extension,1,,,,,0,,,,,,,,0,,,,0,18,,,,,,1.2824,1.6199,False,False,3.0913,6.1825,11.3661
entry_score_top10,2022Q3,8/4/22,11,ZETA,NOT_IN_TOP10,77,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,-9.7902,-6.5734,False,False,-0.1399,-2.0979,12.7273
entry_score_top10,2022Q3,8/4/22,12,AROC,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-1,-14.5,False,False,-3.625,-9,-7
entry_score_top10,2022Q3,8/5/22,13,CCC,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,-1.7276,-4.2683,False,False,0.3049,-3.3537,-9.248
entry_score_top10,2022Q3,8/9/22,14,CECO,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,13.1579,6.9079,False,False,5.0439,4.8246,23.5746
entry_score_top10,2022Q3,8/10/22,15,CTOS,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,-6.6197,-11.6901,False,False,-3.5211,-1.1268,-4.0845
entry_score_top10,2022Q3,8/9/22,16,EPM,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,11.276,13.9466,False,False,0.7418,-3.2641,23.5905
entry_score_top10,2022Q3,8/4/22,17,EZPW,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,1.7778,-12.1111,False,False,5.6667,-6.2222,3.8889
entry_score_top10,2022Q3,8/9/22,18,KOS,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,29,0,,,,,,25.8706,-2.6534,False,False,10.4478,1.4925,21.393
entry_score_top10,2022Q3,8/4/22,19,PUMP,NOT_IN_TOP10,76,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,25,0,,,,,,15.9674,0.8158,False,False,1.9814,2.7972,26.4569
