column,mismatches,both_nonblank_compared,old_blank_new_value,old_value_new_blank,examples
post_llm_high_priority_flag,15230,5908,14268,0,2022Q1 A old= new=0 | 2022Q1 AAP old= new=0 | 2022Q1 AAT old= new=0 | 2022Q1 ABG old= new=0 | 2022Q1 ABM old= new=0
entry_raw_score,14327,20176,0,0,2022Q1 A old=6 new=3 | 2022Q1 AAP old=3 new=5 | 2022Q1 ABG old=5 new=3 | 2022Q1 ABM old=8 new=3 | 2022Q1 ABNB old=4 new=-4
tradable_date,14096,20176,0,0,2022Q1 A old=2/23/22 new=2022-03-04 | 2022Q1 AAP old=2/15/22 new=2022-02-16 | 2022Q1 AAT old=2/9/22 new=2022-02-14 | 2022Q1 ABG old=2/16/22 new=2022-03-02 | 2022Q1 ABM old=3/9/22 new=2022-03-10
entry_score_0_100,14067,20176,0,0,2022Q1 A old=6 new=3 | 2022Q1 AAP old=3 new=5 | 2022Q1 ABG old=5 new=3 | 2022Q1 ABM old=8 new=3 | 2022Q1 ABNB old=4 new=0
entry_qoq_pct,13449,18886,219,1026,2022Q1 A old=-16.6848 new= | 2022Q1 AAP old=-9.3810 new= | 2022Q1 AAT old=-9.5894 new= | 2022Q1 ABG old=-15.3983 new= | 2022Q1 ABM old=16.3780 new=
score_change,12927,19786,332,34,2022Q1 A old=-2.0000 new=0.0 | 2022Q1 AAP old=2.0000 new=0.0 | 2022Q1 AAT old=1.0000 new=0.0 | 2022Q1 ABM old=1.0000 new=0.0 | 2022Q1 ACA old=2.0000 new=0.0
fundamental_rerating_score,12906,20176,0,0,2022Q1 A old=6 new=3 | 2022Q1 AAP old=4 new=9 | 2022Q1 ABG old=6 new=3 | 2022Q1 ABM old=8 new=3 | 2022Q1 ABNB old=8 new=0
pre_llm_fundamental_bucket,12264,20176,0,0,2022Q1 A old=good new=strong | 2022Q1 AAP old=strong new=weak | 2022Q1 ABM old=strong new=good | 2022Q1 ABNB old=weak new=good | 2022Q1 ABT old=strong new=mixed
entry_open,11175,20160,0,16,2022Q1 A old=129.880005 new=135.85000610351562 | 2022Q1 AAP old=216.380005 new=221.27000427246094 | 2022Q1 AAT old=35.450001 new=35.439998626708984 | 2022Q1 ABG old=176.199997 new=192.8300018310547 | 2022Q1 ABM old=47.040001 new=46.5
revenue_bucket,10757,20126,50,0,2022Q1 A old=$2B-$10B new=$1B-$2B | 2022Q1 ACA old=$1B-$2B new=$500M-$1B | 2022Q1 ACCO old=$1B-$2B new=$100M-$500M | 2022Q1 ACH old=$2B-$10B new=$500M-$1B | 2022Q1 ACIW old=$1B-$2B new=$100M-$500M
fcf_proxy_score,10222,20103,73,0,2022Q1 A old=-1 new=2 | 2022Q1 AAP old=2 new=-1 | 2022Q1 ABG old=-1 new=2 | 2022Q1 ABNB old=-1 new=2 | 2022Q1 ABT old=2 new=-1
risk_penalty_score,9380,20176,0,0,2022Q1 AAP old=1 new=4 | 2022Q1 ABG old=1 new=0 | 2022Q1 ABT old=0 new=4 | 2022Q1 ACA old=1 new=0 | 2022Q1 ACAD old=4 new=1
profitability_score,8640,20121,55,0,2022Q1 ABNB old=-1 new=1 | 2022Q1 ACAD old=-1 new=1 | 2022Q1 ACLS old=2 new=1 | 2022Q1 ADEA old=-1 new=2 | 2022Q1 ADSK old=1 new=2
operating_cash_flow_score,8153,20106,70,0,2022Q1 AAP old=2 new=-1 | 2022Q1 ABG old=2 new=1 | 2022Q1 ABNB old=-1 new=2 | 2022Q1 ACAD old=-1 new=2 | 2022Q1 ACH old=1 new=-1
financing_dependence_score,7826,20115,61,0,2022Q1 AAP old=0 new=-1 | 2022Q1 ABG old=0 new=1 | 2022Q1 ABT old=1 new=-1 | 2022Q1 ACA old=0 new=1 | 2022Q1 ACAD old=-1 new=0
sample_id,6614,644,4386,1584,2022Q1 ACCO old= new=ACCO_2022Q1 | 2022Q1 ACVA old= new=ACVA_2022Q1 | 2022Q1 ADBE old=HP000006 new= | 2022Q1 ADEA old= new=ADEA_2022Q1 | 2022Q1 ADUS old=HP000007 new=
asset_efficiency_score,6497,20125,51,0,2022Q1 A old=1 new=0 | 2022Q1 ABG old=2 new=0 | 2022Q1 ABM old=2 new=0 | 2022Q1 ACA old=1 new=0 | 2022Q1 ACH old=2 new=0
tier_bucket,6302,0,0,6302,2022Q1 ACAD old=Tier 0 - Broad right-tail scouting universe new= | 2022Q1 ACCO old=Tier 0 - Broad right-tail scouting universe new= | 2022Q1 ACT old=Tier 0 - Broad right-tail scouting universe new= | 2022Q1 ACVA old=Tier 0 - Broad right-tail scouting universe new= | 2022Q1 ADEA old=Tier 0 - Broad right-tail scouting universe new=
narrative_delta_score,5908,0,0,5908,2022Q1 ACCO old=3 new= | 2022Q1 ACVA old=3 new= | 2022Q1 ADBE old=7 new= | 2022Q1 ADEA old=4 new= | 2022Q1 ADUS old=9 new=
evidence_risk,5676,4230,800,1677,"2022Q1 ADBE old=Forward-looking statements cite macro conditions, competition, technology shifts new= | 2022Q1 ADUS old=Company still cites COVID-19 and labor challenges, acquisition integration, mana new= | 2022Q1 ADV old=2022 outlook cites wide outcome range around inflation and labor; profit decline new= | 2022Q1 AFL old=Japan net earned premiums declined; weaker yen hurt EPS; Corporate and Other adj new= | 2022Q1 AGYS old=Adjusted EBITDA declined from prior year; gross margin declined; services revenu new="
evidence_positive,5666,4203,795,1699,"2022Q1 ADBE old=Record Q1 revenue of $4.26B, up 9% reported or 17% adjusted; Digital Media ARR i new= | 2022Q1 ADUS old=Revenue grew 14.6% to $224.6M; net income increased 54.6% to $13.1M; adjusted EB new= | 2022Q1 ADV old=Q4 revenue increased to $1.033B from $850M; operating income improved to $84.4M  new= | 2022Q1 AFL old=Adjusted earnings rose 12.6%; EPS rose 19.6%; Aflac Japan pretax adjusted earnin new= | 2022Q1 AGYS old=Recurring revenue reached $25.1M, 63.7% of revenue; subscription revenue grew 24 new="
llm_business_improvement_score,5114,20176,0,0,2022Q1 ACCO old=33 new=28 | 2022Q1 ADBE old=34 new=0 | 2022Q1 ADEA old=35 new=30 | 2022Q1 ADUS old=45 new=0 | 2022Q1 ADV old=30 new=0
post_llm_fundamental_bucket,4864,1049,0,4859,2022Q1 ADBE old=strong new= | 2022Q1 ADUS old=strong new= | 2022Q1 ADV old=good new= | 2022Q1 AFL old=strong new= | 2022Q1 AGYS old=good new=
post_llm_fundamental_score,4864,1049,0,4859,2022Q1 ADBE old=10 new= | 2022Q1 ADUS old=9 new= | 2022Q1 ADV old=4 new= | 2022Q1 AFL old=7 new= | 2022Q1 AGYS old=5 new=
post_llm_score_delta,4864,1049,0,4859,2022Q1 ADBE old=3 new= | 2022Q1 ADUS old=3 new= | 2022Q1 ADV old=1 new= | 2022Q1 AFL old=1 new= | 2022Q1 AGYS old=1 new=
negative_revision_risk,4273,4231,799,1677,2022Q1 ADBE old=1 new= | 2022Q1 ADUS old=1 new= | 2022Q1 ADV old=2 new= | 2022Q1 AFL old=3 new= | 2022Q1 AGYS old=2 new=
causal_change,4206,4231,799,1677,2022Q1 ADBE old=2 new= | 2022Q1 ADUS old=3 new= | 2022Q1 ADV old=2 new= | 2022Q1 AFL old=2 new= | 2022Q1 AGYS old=2 new=
durability,4199,4231,799,1677,2022Q1 ADBE old=2 new= | 2022Q1 ADUS old=2 new= | 2022Q1 ADV old=1 new= | 2022Q1 AFL old=1 new= | 2022Q1 AGYS old=2 new=
proof_alignment,4125,4231,799,1677,2022Q1 ADBE old=3 new= | 2022Q1 ADUS old=3 new= | 2022Q1 ADV old=3 new= | 2022Q1 AFL old=3 new= | 2022Q1 AGYS old=3 new=
narrative_delta_bucket,4026,4231,799,1677,2022Q1 ADBE old=inflecting new= | 2022Q1 ADUS old=inflecting new= | 2022Q1 ADV old=constructive new= | 2022Q1 AFL old=constructive new= | 2022Q1 AGYS old=constructive new=
total_structure_score,3936,20176,0,0,2022Q1 ACAD old=10 new=0 | 2022Q1 ADBE old=15 new=0 | 2022Q1 ADUS old=15 new=0 | 2022Q1 ADV old=15 new=0 | 2022Q1 AFL old=8 new=0
story_vs_numbers_gap_penalty,3926,4231,799,1677,2022Q1 ADBE old=0 new= | 2022Q1 ADUS old=0 new= | 2022Q1 ADV old=0 new= | 2022Q1 AFL old=1 new= | 2022Q1 AGYS old=1 new=
operating_leverage_quality,3747,4231,799,1677,2022Q1 ADBE old=1 new= | 2022Q1 ADUS old=2 new= | 2022Q1 ADV old=2 new= | 2022Q1 AFL old=2 new= | 2022Q1 AGYS old=1 new=
in_tier1_post_llm_file,3680,20176,0,0,2022Q1 ACCO old=1 new=0 | 2022Q1 ACVA old=1 new=0 | 2022Q1 ADEA old=1 new=0 | 2022Q1 AHRT old=1 new=0 | 2022Q1 AIOT old=1 new=0
confidence,3532,4231,799,1677,2022Q1 ADBE old=high new= | 2022Q1 ADUS old=high new= | 2022Q1 ADV old=high new= | 2022Q1 AFL old=medium new= | 2022Q1 AGYS old=high new=
entry_score_0_100_bucket,3380,20176,0,0,"2022Q1 ACVA old=Low priority unless theme override exists new=Watchlist / secondary research | 2022Q1 ADBE old=Watchlist / secondary research new=Low priority unless theme override exists | 2022Q1 ADEA old=Good candidate, needs downstream confirmation new=Watchlist / secondary research | 2022Q1 ADUS old=Good candidate, needs downstream confirmation new=Low priority unless theme override exists | 2022Q1 ADV old=Watchlist / secondary research new=Low priority unless theme override exists"
post_llm_tier_1_2_flag,3007,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_3_1_flag,3001,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_1_1_flag,2934,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_1_3_flag,2760,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_2_2_flag,2724,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_2_1_flag,2708,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_1_4_flag,2693,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_3_2_flag,2581,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_2_3_flag,2557,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
has_post_llm,2476,20176,0,0,2022Q1 ADBE old=1 new=0 | 2022Q1 ADUS old=1 new=0 | 2022Q1 ADV old=1 new=0 | 2022Q1 AFL old=1 new=0 | 2022Q1 AGYS old=1 new=0
post_llm_tier_3_3_flag,2459,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_4_1_flag,2400,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_4_2_flag,2369,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_3_4_flag,2350,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
post_llm_tier_4_3_flag,2309,17948,2228,0,2022Q1 ADBE old= new=0 | 2022Q1 ADUS old= new=0 | 2022Q1 ADV old= new=0 | 2022Q1 AFL old= new=0 | 2022Q1 AGYS old= new=0
hp_structure_score,2244,20176,0,0,2022Q1 ADBE old=15 new=0 | 2022Q1 ADUS old=15 new=0 | 2022Q1 ADV old=15 new=0 | 2022Q1 AFL old=8 new=0 | 2022Q1 AGYS old=15 new=0
in_tier2_post_llm_file,2194,20176,0,0,2022Q1 ACCO old=1 new=0 | 2022Q1 ADEA old=1 new=0 | 2022Q1 AIOT old=1 new=0 | 2022Q1 AMRX old=1 new=0 | 2022Q1 ARLO old=1 new=0
post_llm_sub_tier_bucket,1928,1506,390,455,2022Q1 ARLO old=Tier 1.1 - LLM-supported candidate;Tier 1.2 - Causal re-rating candidate;Tier 1. new=Tier 1.1 - LLM-supported candidate;Tier 1.2 - Causal re-rating candidate;Tier 1. | 2022Q1 AROC old=Tier 2.1 - LLM-supported new= | 2022Q1 BDN old=Tier 1.1 - LLM-supported candidate new=Tier 1.1 - LLM-supported candidate;Tier 3.1 - Cleaner LLM-positive Tier 3 | 2022Q1 BHR old=Tier 1.1 - LLM-supported candidate;Tier 2.1 - LLM-supported;Tier 3.1 - Cleaner L new=Tier 1.1 - LLM-supported candidate;Tier 2.1 - LLM-supported | 2022Q1 BTU old=Tier 1.1 - LLM-supported candidate;Tier 1.2 - Causal re-rating candidate;Tier 1. new=
tier_structure_score,1728,20176,0,0,2022Q1 ACAD old=10 new=0 | 2022Q1 AHRT old=18 new=22 | 2022Q1 AI old=0 new=10 | 2022Q1 ARLO old=29 new=18 | 2022Q1 ASB old=10 new=0
tier_3_bucket,1488,501,785,703,2022Q1 AHRT old= new=Tier 3 - Revised dislocation feed | 2022Q1 AIOT old= new=Tier 3 - Revised dislocation feed | 2022Q1 AMRX old= new=Tier 3 - Revised dislocation feed | 2022Q1 ARLO old=Tier 3 - Revised dislocation feed new= | 2022Q1 BDN old= new=Tier 3 - Revised dislocation feed
in_tier3_post_llm_file,1204,20176,0,0,2022Q1 ARLO old=1 new=0 | 2022Q1 BHR old=1 new=0 | 2022Q1 BTU old=1 new=0 | 2022Q1 CNDT old=1 new=0 | 2022Q1 CNTY old=1 new=0
in_tier4_post_llm_file,715,20176,0,0,2022Q1 AIOT old=1 new=0 | 2022Q1 AMRX old=1 new=0 | 2022Q1 CNDT old=1 new=0 | 2022Q1 EEX old=1 new=0 | 2022Q1 GNW old=1 new=0
hp_LLM_best,508,20176,0,0,2022Q1 ADUS old=1 new=0 | 2022Q1 ALGN old=1 new=0 | 2022Q1 ASIX old=1 new=0 | 2022Q1 BKNG old=1 new=0 | 2022Q1 BSY old=1 new=0
tier_0_bucket,372,6164,234,138,2022Q1 ACAD old=Tier 0 - Broad right-tail scouting universe new= | 2022Q1 AI old= new=Tier 0 - Broad right-tail scouting universe | 2022Q1 ASB old=Tier 0 - Broad right-tail scouting universe new= | 2022Q1 BMBL old=Tier 0 - Broad right-tail scouting universe new= | 2022Q1 CCL old= new=Tier 0 - Broad right-tail scouting universe
hp2_LLM_best,256,20176,0,0,2022Q1 UFCS old=1 new=0 | 2022Q2 CAL old=0 new=1 | 2022Q2 CC old=0 new=1 | 2022Q2 CTEV old=0 new=1 | 2022Q2 LDOS old=0 new=1
hp4_LLM_supported,227,20176,0,0,2022Q1 BDX old=1 new=0 | 2022Q1 PENG old=1 new=0 | 2022Q2 CNR old=1 new=0 | 2022Q2 CTRA old=1 new=0 | 2022Q2 GO old=1 new=0
tier_1_bucket,222,3579,121,101,2022Q1 BTU old=Tier 1 - Balanced priority feed new= | 2022Q1 CARS old=Tier 1 - Balanced priority feed new= | 2022Q1 CNX old=Tier 1 - Balanced priority feed new= | 2022Q1 DCGO old= new=Tier 1 - Balanced priority feed | 2022Q1 DNUT old= new=Tier 1 - Balanced priority feed
hp1_LLM_best,208,20176,0,0,2022Q1 ADUS old=1 new=0 | 2022Q1 ALGN old=1 new=0 | 2022Q1 ASIX old=1 new=0 | 2022Q1 BSY old=1 new=0 | 2022Q1 CROX old=1 new=0
blocking_issues,154,0,0,154,"2022Q1 BARK old=Packet lacks earnings-result evidence needed to score narrative delta. new= | 2022Q1 DIN old=negative_revision_risk >= 4 forces score_addition -3 new= | 2022Q1 EBAY old=negative_revision_risk >= 4 forces score_addition -3 new= | 2022Q1 GNW old=Evidence packet lacks a clear management narrative or headline operating results new= | 2022Q1 KMB old=Evidence snippets mix full-year, fourth-quarter, segment, and outlook items, lim new="
tier_2_bucket,143,2133,82,61,2022Q1 ARLO old=Tier 2 - High-priority compact feed new= | 2022Q1 CRCT old=Tier 2 - High-priority compact feed new= | 2022Q1 DCGO old= new=Tier 2 - High-priority compact feed | 2022Q1 HLMN old=Tier 2 - High-priority compact feed new= | 2022Q1 HOOD old=Tier 2 - High-priority compact feed new=
hard_reject_reason,83,7,9,67,2022Q1 BWIN old=pre_llm_fundamental_bucket_not_scored;missing_revenue_bucket new= | 2022Q1 CORZ old=pre_llm_fundamental_bucket_not_scored;missing_revenue_bucket new=missing_entry_open | 2022Q1 CRDO old=pre_llm_fundamental_bucket_not_scored;missing_revenue_bucket new= | 2022Q1 DBD old= new=missing_entry_open | 2022Q1 DCGO old=pre_llm_fundamental_bucket_not_scored;missing_revenue_bucket new=
hp2_watch_LLM_best,80,20176,0,0,2022Q1 FANG old=1 new=0 | 2022Q3 AEIS old=0 new=1 | 2022Q4 CROX old=0 new=1 | 2022Q4 PODD old=1 new=0 | 2022Q4 TEX old=0 new=1
tier_4_bucket,56,686,27,29,"2022Q1 HIMS old=Tier 4 - Ultra-distressed tag, not a production tier new= | 2022Q1 PBI old= new=Tier 4 - Ultra-distressed tag, not a production tier | 2022Q1 RYAM old=Tier 4 - Ultra-distressed tag, not a production tier new= | 2022Q1 SMCI old=Tier 4 - Ultra-distressed tag, not a production tier new= | 2022Q1 TH old=Tier 4 - Ultra-distressed tag, not a production tier new="
hp3_theme_confirmed,45,20176,0,0,2022Q1 BKNG old=1 new=0 | 2022Q1 CARR old=1 new=0 | 2022Q1 NVDA old=0 new=1 | 2022Q2 STLD old=1 new=0 | 2022Q4 LULU old=0 new=1
