quarter,field,ticker,old,new
2022Q2,entry_open,ABM,46.75,42.83000183105469
2022Q2,pre_llm_fundamental_score,AAP,5,-1
2022Q2,pre_llm_fundamental_score,AAT,1,6
2022Q2,pre_llm_fundamental_score,ABG,6,5
2022Q2,pre_llm_fundamental_score,ABNB,-2,4
2022Q2,pre_llm_fundamental_score,ABT,7,1
2022Q2,pre_llm_fundamental_bucket,AAP,good,weak
2022Q2,pre_llm_fundamental_bucket,AAT,mixed,strong
2022Q2,pre_llm_fundamental_bucket,ABG,strong,good
2022Q2,pre_llm_fundamental_bucket,ABNB,weak,good
2022Q2,pre_llm_fundamental_bucket,ABT,strong,mixed
2022Q2,score_change,A,2.0000,0.0
2022Q2,score_change,AAP,-1.0000,0.0
2022Q2,score_change,AAT,-5.0000,0.0
2022Q2,score_change,ABG,2.0000,0.0
2022Q2,score_change,ABM,-2.0000,0.0
2022Q2,entry_raw_score,AAP,6,5
2022Q2,entry_raw_score,AAT,-4,3
2022Q2,entry_raw_score,ABG,8,3
2022Q2,entry_raw_score,ABNB,4,72
2022Q2,entry_raw_score,ABT,3,-4
2022Q2,entry_score_0_100,AAP,6,5
2022Q2,entry_score_0_100,AAT,0,3
2022Q2,entry_score_0_100,ABG,8,3
2022Q2,entry_score_0_100,ABNB,4,72
2022Q2,entry_score_0_100,ABT,3,0
2022Q2,tier_structure_score,ACDC,0,10
2022Q2,tier_structure_score,AHRT,18,22
2022Q2,tier_structure_score,ALTG,22,18
2022Q2,tier_structure_score,ARRY,18,29
2022Q2,tier_structure_score,BDN,18,22
2022Q2,hp_structure_score,ABNB,0,15
2022Q2,hp_structure_score,ADUS,8,0
2022Q2,hp_structure_score,AEP,8,0
2022Q2,hp_structure_score,AMD,15,0
2022Q2,hp_structure_score,ANGI,15,0
2022Q2,llm_business_improvement_score,ABNB,0,45
2022Q2,llm_business_improvement_score,ADBE,37,32
2022Q2,llm_business_improvement_score,ADEA,35,30
2022Q2,llm_business_improvement_score,ADUS,41,0
2022Q2,llm_business_improvement_score,AEP,32,0
2022Q2,fundamental_rerating_score,AAP,6,9
2022Q2,fundamental_rerating_score,AAT,0,3
2022Q2,fundamental_rerating_score,ABG,8,3
2022Q2,fundamental_rerating_score,ABNB,8,3
2022Q2,fundamental_rerating_score,ABT,3,0
2022Q2,risk_penalty_score,AAP,0,4
2022Q2,risk_penalty_score,AAT,4,0
2022Q2,risk_penalty_score,ABT,0,4
2022Q2,risk_penalty_score,ACAD,4,1
2022Q2,risk_penalty_score,ACCO,7,11
2022Q3,tradable_date,A,8/17/22,2022-09-02
2022Q3,tradable_date,AAP,8/24/22,2022-08-25
2022Q3,tradable_date,AAT,7/27/22,2022-08-01
2022Q3,tradable_date,ABG,7/29/22,2022-07-29
2022Q3,tradable_date,ABM,9/12/22,2022-09-12
2022Q3,entry_open,A,148.839996,129.7899932861328
2022Q3,entry_open,AAP,182.789993,179.85000610351562
2022Q3,entry_open,AAT,29.43,30.110000610351562
2022Q3,entry_open,ABNB,108.224998,114.30999755859375
2022Q3,entry_open,ABT,108.620003,109.11000061035156
2022Q3,pre_llm_fundamental_score,A,6,7
2022Q3,pre_llm_fundamental_score,AAP,5,-1
2022Q3,pre_llm_fundamental_score,AAT,4,6
2022Q3,pre_llm_fundamental_score,ABG,7,5
2022Q3,pre_llm_fundamental_score,ABM,7,4
2022Q3,pre_llm_fundamental_bucket,AAP,good,weak
2022Q3,pre_llm_fundamental_bucket,AAT,good,strong
2022Q3,pre_llm_fundamental_bucket,ABG,strong,good
2022Q3,pre_llm_fundamental_bucket,ABM,strong,good
2022Q3,pre_llm_fundamental_bucket,ABNB,weak,good
2022Q3,score_change,A,-1.0000,0.0
2022Q3,score_change,AAT,3.0000,0.0
2022Q3,score_change,ABG,1.0000,0.0
2022Q3,score_change,ABM,3.0000,0.0
2022Q3,score_change,ABNB,1.0000,0.0
2022Q3,entry_raw_score,AAP,3,5
2022Q3,entry_raw_score,AAT,-4,3
2022Q3,entry_raw_score,ABG,6,3
2022Q3,entry_raw_score,ABM,8,3
2022Q3,entry_raw_score,ABNB,2,-4
2022Q3,entry_score_0_100,AAP,3,5
2022Q3,entry_score_0_100,AAT,0,3
2022Q3,entry_score_0_100,ABG,6,3
2022Q3,entry_score_0_100,ABM,8,3
2022Q3,entry_score_0_100,ABNB,2,0
2022Q3,tier_structure_score,ACCO,29,25
2022Q3,tier_structure_score,ACT,10,0
2022Q3,tier_structure_score,AFRM,0,10
2022Q3,tier_structure_score,AHRT,18,22
2022Q3,tier_structure_score,AI,10,22
2022Q3,hp_structure_score,ACLS,8,0
2022Q3,hp_structure_score,ADBE,0,15
2022Q3,hp_structure_score,ADUS,8,0
2022Q3,hp_structure_score,AEIS,0,8
2022Q3,hp_structure_score,ANGI,15,18
2022Q3,llm_business_improvement_score,ACLS,45,0
2022Q3,llm_business_improvement_score,ADBE,0,32
2022Q3,llm_business_improvement_score,ADEA,33,28
2022Q3,llm_business_improvement_score,ADTN,0,40
2022Q3,llm_business_improvement_score,ADUS,37,0
2022Q3,fundamental_rerating_score,AAP,3,9
2022Q3,fundamental_rerating_score,AAT,0,3
2022Q3,fundamental_rerating_score,ABG,6,3
2022Q3,fundamental_rerating_score,ABM,8,3
2022Q3,fundamental_rerating_score,ABNB,6,0
2022Q3,risk_penalty_score,AAP,0,4
2022Q3,risk_penalty_score,AAT,4,0
2022Q3,risk_penalty_score,ABT,0,4
2022Q3,risk_penalty_score,ACDC,0,1
2022Q3,risk_penalty_score,ACH,0,1
2022Q4,tradable_date,A,11/22/22,2022-12-22
2022Q4,tradable_date,AAP,11/16/22,2022-11-17
2022Q4,tradable_date,AAT,10/26/22,2022-10-31
2022Q4,tradable_date,ABG,10/28/22,2022-10-31
2022Q4,tradable_date,ABM,12/14/22,2022-12-22
2022Q4,entry_open,A,151.979996,148.41000366210938
2022Q4,entry_open,AAP,155,153.10000610351562
2022Q4,entry_open,AAT,28.41,27.299999237060547
2022Q4,entry_open,ABG,158.300003,156.2899932861328
2022Q4,entry_open,ABM,42.349998,45.31999969482422
2022Q4,pre_llm_fundamental_score,AAP,6,-1
2022Q4,pre_llm_fundamental_score,AAT,4,6
2022Q4,pre_llm_fundamental_score,ABG,7,5
2022Q4,pre_llm_fundamental_score,ABM,7,4
2022Q4,pre_llm_fundamental_score,ABNB,2,4
2022Q4,pre_llm_fundamental_bucket,AAP,strong,weak
2022Q4,pre_llm_fundamental_bucket,AAT,good,strong
2022Q4,pre_llm_fundamental_bucket,ABG,strong,good
2022Q4,pre_llm_fundamental_bucket,ABM,strong,good
2022Q4,pre_llm_fundamental_bucket,ABNB,mixed,good
2022Q4,score_change,A,1.0000,0.0
2022Q4,score_change,AAP,1.0000,0.0
2022Q4,score_change,ABNB,3.0000,0.0
2022Q4,score_change,ACA,-2.0000,0.0
2022Q4,score_change,ACCO,1.0000,0.0
2022Q4,entry_raw_score,AAP,3,5
2022Q4,entry_raw_score,AAT,-4,3
2022Q4,entry_raw_score,ABG,6,3
2022Q4,entry_raw_score,ABM,8,3
2022Q4,entry_raw_score,ABT,3,-4
2022Q4,entry_score_0_100,AAP,3,5
2022Q4,entry_score_0_100,AAT,0,3
2022Q4,entry_score_0_100,ABG,6,3
2022Q4,entry_score_0_100,ABM,8,3
2022Q4,entry_score_0_100,ABT,3,0
2022Q4,tier_structure_score,ACAD,10,18
2022Q4,tier_structure_score,ACCO,30,25
2022Q4,tier_structure_score,ACH,18,10
2022Q4,tier_structure_score,ACVA,29,25
2022Q4,tier_structure_score,AFRM,22,18
2022Q4,hp_structure_score,ACLS,15,0
2022Q4,hp_structure_score,AGYS,8,0
2022Q4,hp_structure_score,ALRM,0,15
2022Q4,hp_structure_score,AMN,8,0
2022Q4,hp_structure_score,AMP,8,0
2022Q4,llm_business_improvement_score,ACAD,0,28
2022Q4,llm_business_improvement_score,ACDC,0,45
2022Q4,llm_business_improvement_score,ACH,4,0
2022Q4,llm_business_improvement_score,ACLS,45,0
2022Q4,llm_business_improvement_score,AGYS,45,0
2022Q4,fundamental_rerating_score,AAP,3,9
2022Q4,fundamental_rerating_score,AAT,0,3
2022Q4,fundamental_rerating_score,ABG,6,3
2022Q4,fundamental_rerating_score,ABM,8,3
2022Q4,fundamental_rerating_score,ABT,3,0
2022Q4,risk_penalty_score,AAP,0,4
2022Q4,risk_penalty_score,AAT,4,0
2022Q4,risk_penalty_score,ABT,0,4
2022Q4,risk_penalty_score,ACA,4,0
2022Q4,risk_penalty_score,ACCO,21,22
2023Q1,tradable_date,A,3/1/23,2023-03-06
2023Q1,tradable_date,AAP,3/1/23,2023-03-01
2023Q1,tradable_date,AAT,2/8/23,2023-02-13
2023Q1,tradable_date,ABG,2/3/23,2023-03-02
2023Q1,tradable_date,ABM,3/9/23,2023-03-09
2023Q1,entry_open,A,138.580002,143.35000610351562
2023Q1,entry_open,AAT,27.9,26.559999465942383
2023Q1,entry_open,ABG,237.449997,230.8800048828125
2023Q1,entry_open,ABNB,130,129.77000427246094
2023Q1,entry_open,ABT,111.25,105.8499984741211
2023Q1,pre_llm_fundamental_score,AAP,6,-1
2023Q1,pre_llm_fundamental_score,AAT,1,6
2023Q1,pre_llm_fundamental_score,ABG,7,5
2023Q1,pre_llm_fundamental_score,ABM,-1,4
2023Q1,pre_llm_fundamental_score,ABNB,2,4
2023Q1,pre_llm_fundamental_bucket,AAP,strong,weak
2023Q1,pre_llm_fundamental_bucket,AAT,mixed,strong
2023Q1,pre_llm_fundamental_bucket,ABG,strong,good
2023Q1,pre_llm_fundamental_bucket,ABM,weak,good
2023Q1,pre_llm_fundamental_bucket,ABNB,mixed,good
2023Q1,score_change,AAT,-3.0000,0.0
2023Q1,score_change,ABM,-8.0000,0.0
2023Q1,score_change,ACAD,2.0000,0.0
2023Q1,score_change,ACCO,5.0000,0.0
2023Q1,score_change,ACGL,1.0000,0.0
2023Q1,entry_raw_score,AAP,6,5
2023Q1,entry_raw_score,AAT,-4,3
2023Q1,entry_raw_score,ABG,6,3
2023Q1,entry_raw_score,ABT,3,-4
2023Q1,entry_raw_score,ACA,2,3
2023Q1,entry_score_0_100,AAP,6,5
2023Q1,entry_score_0_100,AAT,0,3
2023Q1,entry_score_0_100,ABG,6,3
2023Q1,entry_score_0_100,ABT,3,0
2023Q1,entry_score_0_100,ACA,2,3
2023Q1,tier_structure_score,ACDC,18,22
2023Q1,tier_structure_score,ACT,0,10
2023Q1,tier_structure_score,ACVA,22,18
2023Q1,tier_structure_score,ADEA,18,25
2023Q1,tier_structure_score,AFRM,22,18
2023Q1,hp_structure_score,AEIS,0,8
2023Q1,hp_structure_score,ALG,8,0
2023Q1,hp_structure_score,ALKS,8,0
2023Q1,hp_structure_score,ALRM,15,0
2023Q1,hp_structure_score,AMD,10,0
2023Q1,llm_business_improvement_score,AEIS,0,14
2023Q1,llm_business_improvement_score,AHRT,33,28
2023Q1,llm_business_improvement_score,ALG,45,0
2023Q1,llm_business_improvement_score,ALKS,28,0
2023Q1,llm_business_improvement_score,ALRM,8,0
2023Q1,fundamental_rerating_score,AAP,6,9
2023Q1,fundamental_rerating_score,AAT,0,3
2023Q1,fundamental_rerating_score,ABG,6,3
2023Q1,fundamental_rerating_score,ABM,4,3
2023Q1,fundamental_rerating_score,ABT,3,0
2023Q1,risk_penalty_score,AAP,0,4
2023Q1,risk_penalty_score,AAT,4,0
2023Q1,risk_penalty_score,ABM,1,0
2023Q1,risk_penalty_score,ABT,0,4
2023Q1,risk_penalty_score,ACA,4,0
2023Q2,tradable_date,A,5/24/23,2023-05-29
2023Q2,tradable_date,AAP,6/1/23,2023-06-07
2023Q2,tradable_date,AAT,4/26/23,2023-05-01
2023Q2,tradable_date,ABG,4/26/23,2023-05-01
2023Q2,tradable_date,ABM,6/7/23,2023-06-08
2023Q2,entry_open,A,115.199997,120.01000213623047
2023Q2,entry_open,AAP,71.769997,66.62000274658203
2023Q2,entry_open,AAT,17.530001,18.1200008392334
2023Q2,entry_open,ABG,186.119995,194.77000427246094
2023Q2,entry_open,ABM,48.540001,47.790000915527344
2023Q2,pre_llm_fundamental_score,AAP,6.0,-1
2023Q2,pre_llm_fundamental_score,ABG,2,5
2023Q2,pre_llm_fundamental_score,ABM,-1,4
2023Q2,pre_llm_fundamental_score,ABNB,2,4
2023Q2,pre_llm_fundamental_score,ABT,7,1
2023Q2,pre_llm_fundamental_bucket,AAP,strong,weak
2023Q2,pre_llm_fundamental_bucket,ABG,mixed,good
2023Q2,pre_llm_fundamental_bucket,ABM,weak,good
2023Q2,pre_llm_fundamental_bucket,ABNB,mixed,good
2023Q2,pre_llm_fundamental_bucket,ABT,strong,mixed
2023Q2,score_change,AAT,5.0000,0.0
2023Q2,score_change,ABG,-5.0000,0.0
2023Q2,score_change,ACA,3.0000,0.0
2023Q2,score_change,ACAD,1.0000,0.0
2023Q2,score_change,ACCO,-1.0000,0.0
2023Q2,entry_raw_score,AAP,3,5
2023Q2,entry_raw_score,ABM,6,3
2023Q2,entry_raw_score,ABT,3,-4
2023Q2,entry_raw_score,ACAD,16,10
2023Q2,entry_raw_score,ACCO,35,51
2023Q2,entry_score_0_100,AAP,3,5
2023Q2,entry_score_0_100,ABM,6,3
2023Q2,entry_score_0_100,ABT,3,0
2023Q2,entry_score_0_100,ACAD,16,10
2023Q2,entry_score_0_100,ACCO,35,51
2023Q2,tier_structure_score,ACCO,30,25
2023Q2,tier_structure_score,ACDC,25,22
2023Q2,tier_structure_score,ACVA,22,18
2023Q2,tier_structure_score,ADTN,18,29
2023Q2,tier_structure_score,AFRM,22,18
2023Q2,hp_structure_score,AAP,15,0
2023Q2,hp_structure_score,ADV,0,15
2023Q2,hp_structure_score,AI,0,18
2023Q2,hp_structure_score,APPF,8,0
2023Q2,hp_structure_score,BBY,10,0
2023Q2,llm_business_improvement_score,ACCO,14,32
2023Q2,llm_business_improvement_score,ACDC,33,14
2023Q2,llm_business_improvement_score,ACH,0,38
2023Q2,llm_business_improvement_score,ACVA,28,45
2023Q2,llm_business_improvement_score,ADEA,39,45
2023Q2,fundamental_rerating_score,AAP,6,9
2023Q2,fundamental_rerating_score,ABG,4,3
2023Q2,fundamental_rerating_score,ABM,7,3
2023Q2,fundamental_rerating_score,ABT,3,0
2023Q2,fundamental_rerating_score,ACA,4,3
2023Q2,risk_penalty_score,AAP,18,4
2023Q2,risk_penalty_score,ABG,1,0
2023Q2,risk_penalty_score,ABM,1,0
2023Q2,risk_penalty_score,ABT,0,4
2023Q2,risk_penalty_score,ACA,1,0
2023Q3,tradable_date,A,2023-08-16,2023-09-01
2023Q3,tradable_date,AAT,2023-07-26,2023-07-31
2023Q3,tradable_date,ABG,2023-07-26,2023-07-31
2023Q3,tradable_date,ABT,2023-07-21,2023-08-04
2023Q3,tradable_date,ACA,2023-08-04,2023-08-07
2023Q3,entry_open,A,121.989998,122.69000244140625
2023Q3,entry_open,AAT,22.049999,22.360000610351562
2023Q3,entry_open,ABG,219.25,220.61000061035156
2023Q3,entry_open,ABT,112.849998,107.31999969482422
2023Q3,entry_open,ACA,76.800003,78.69000244140625
2023Q3,pre_llm_fundamental_score,AAP,5,-1
2023Q3,pre_llm_fundamental_score,AAT,4,6
2023Q3,pre_llm_fundamental_score,ABG,6.0,5
2023Q3,pre_llm_fundamental_score,ABM,1,4
2023Q3,pre_llm_fundamental_score,ABNB,2,4
2023Q3,pre_llm_fundamental_bucket,AAP,good,weak
2023Q3,pre_llm_fundamental_bucket,AAT,good,strong
2023Q3,pre_llm_fundamental_bucket,ABG,strong,good
2023Q3,pre_llm_fundamental_bucket,ABM,mixed,good
2023Q3,pre_llm_fundamental_bucket,ABNB,mixed,good
2023Q3,score_change,AAP,-1.0000,0.0
2023Q3,score_change,AAT,-2.0000,0.0
2023Q3,score_change,ABG,4.0000,0.0
2023Q3,score_change,ABM,2.0000,0.0
2023Q3,score_change,ACA,1.0000,0.0
2023Q3,entry_raw_score,AAP,6,5
2023Q3,entry_raw_score,ABG,19,3
2023Q3,entry_raw_score,ABM,5,3
2023Q3,entry_raw_score,ABT,3,-4
2023Q3,entry_raw_score,ACAD,62,0
2023Q3,entry_score_0_100,AAP,6,5
2023Q3,entry_score_0_100,ABG,19,3
2023Q3,entry_score_0_100,ABM,5,3
2023Q3,entry_score_0_100,ABT,3,0
2023Q3,entry_score_0_100,ACAD,62,0
2023Q3,tier_structure_score,ACCO,29,25
2023Q3,tier_structure_score,ACDC,18,22
2023Q3,tier_structure_score,ADTN,25,29
2023Q3,tier_structure_score,AEO,22,10
2023Q3,tier_structure_score,AHCO,18,22
2023Q3,hp_structure_score,ABG,8,0
2023Q3,hp_structure_score,ABM,0,15
2023Q3,hp_structure_score,ACAD,18,0
2023Q3,hp_structure_score,ACGL,8,0
2023Q3,hp_structure_score,ACT,8,0
2023Q3,llm_business_improvement_score,ABG,8,0
2023Q3,llm_business_improvement_score,ABM,0,3
2023Q3,llm_business_improvement_score,ACAD,38,0
2023Q3,llm_business_improvement_score,ACDC,6,7
2023Q3,llm_business_improvement_score,ACGL,45,0
2023Q3,fundamental_rerating_score,AAP,6,9
2023Q3,fundamental_rerating_score,ABM,6,3
2023Q3,fundamental_rerating_score,ABT,3,0
2023Q3,fundamental_rerating_score,ACAD,7,1
2023Q3,fundamental_rerating_score,ACCO,5,0
2023Q3,risk_penalty_score,AAP,0,4
2023Q3,risk_penalty_score,ABM,1,18
2023Q3,risk_penalty_score,ABT,0,4
2023Q3,risk_penalty_score,ACCO,10,17
2023Q3,risk_penalty_score,ACDC,22,19
2023Q4,tradable_date,A,2023-11-21,2023-12-21
2023Q4,tradable_date,AAP,2023-11-16,2023-11-22
2023Q4,tradable_date,AAT,2023-10-25,2023-10-30
2023Q4,tradable_date,ABG,2023-10-25,2023-10-30
2023Q4,tradable_date,ABM,2023-12-14,2023-12-19
2023Q4,entry_open,A,121.459999,139.3800048828125
2023Q4,entry_open,AAP,53.610001,51.459999084472656
2023Q4,entry_open,AAT,17.389999,17.850000381469727
2023Q4,entry_open,ABG,183.490005,189.7100067138672
2023Q4,entry_open,ABM,52.970001,46.040000915527344
2023Q4,pre_llm_fundamental_score,AAP,5.0,-1
2023Q4,pre_llm_fundamental_score,AAT,3,6
2023Q4,pre_llm_fundamental_score,ABG,6,5
2023Q4,pre_llm_fundamental_score,ABM,1,4
2023Q4,pre_llm_fundamental_score,ABNB,3,4
2023Q4,pre_llm_fundamental_bucket,AAP,good,weak
2023Q4,pre_llm_fundamental_bucket,AAT,good,strong
2023Q4,pre_llm_fundamental_bucket,ABG,strong,good
2023Q4,pre_llm_fundamental_bucket,ABM,mixed,good
2023Q4,pre_llm_fundamental_bucket,ABT,strong,mixed
2023Q4,score_change,AAT,-1.0000,0.0
2023Q4,score_change,ABNB,1.0000,0.0
2023Q4,score_change,ACAD,-3.0000,0.0
2023Q4,score_change,ACDC,1.0000,0.0
2023Q4,score_change,ACH,1.0000,0.0
2023Q4,entry_raw_score,AAP,7,5
2023Q4,entry_raw_score,ABG,6,3
2023Q4,entry_raw_score,ABM,5,3
2023Q4,entry_raw_score,ABNB,0,-4
2023Q4,entry_raw_score,ABT,3,-4
2023Q4,entry_score_0_100,AAP,7,5
2023Q4,entry_score_0_100,ABG,6,3
2023Q4,entry_score_0_100,ABM,5,3
2023Q4,entry_score_0_100,ABT,3,0
2023Q4,entry_score_0_100,ACAD,18,0
2023Q4,tier_structure_score,ACAD,10,0
2023Q4,tier_structure_score,ACCO,29,25
2023Q4,tier_structure_score,ACDC,25,29
2023Q4,tier_structure_score,ACVA,22,18
2023Q4,tier_structure_score,AESI,0,10
2023Q4,hp_structure_score,AAP,15,0
2023Q4,hp_structure_score,AEIS,15,0
2023Q4,hp_structure_score,ALGT,0,15
2023Q4,hp_structure_score,AMR,0,18
2023Q4,hp_structure_score,ANF,18,0
2023Q4,llm_business_improvement_score,AAP,4,0
2023Q4,llm_business_improvement_score,ACCO,31,7
2023Q4,llm_business_improvement_score,ACDC,14,18
2023Q4,llm_business_improvement_score,ACLS,42,45
2023Q4,llm_business_improvement_score,ACVA,28,45
2023Q4,fundamental_rerating_score,AAP,6,9
2023Q4,fundamental_rerating_score,ABG,6,3
2023Q4,fundamental_rerating_score,ABM,6,3
2023Q4,fundamental_rerating_score,ABNB,1,0
2023Q4,fundamental_rerating_score,ABT,3,0
2023Q4,risk_penalty_score,AAP,18,4
2023Q4,risk_penalty_score,ABM,1,0
2023Q4,risk_penalty_score,ABNB,1,4
2023Q4,risk_penalty_score,ABT,0,4
2023Q4,risk_penalty_score,ACCO,10,22
2024Q1,tradable_date,A,2024-02-28,2024-03-06
2024Q1,tradable_date,AAP,2024-02-29,2024-03-13
2024Q1,tradable_date,AAT,2024-02-07,2024-02-15
2024Q1,tradable_date,ABG,2024-02-09,2024-03-01
2024Q1,tradable_date,ABNB,2024-02-14,2024-02-19
2024Q1,entry_open,A,139.880005,145.0
2024Q1,entry_open,AAP,69.120003,78.41000366210938
2024Q1,entry_open,AAT,21.660000,21.75
2024Q1,entry_open,ABG,205.710007,209.99000549316406
2024Q1,entry_open,ABNB,146.160004,150.30999755859375
2024Q1,pre_llm_fundamental_score,A,8,7
2024Q1,pre_llm_fundamental_score,AAP,5,-1
2024Q1,pre_llm_fundamental_score,AAT,5,6
2024Q1,pre_llm_fundamental_score,ABG,7,5
2024Q1,pre_llm_fundamental_score,ABM,-1,4
2024Q1,pre_llm_fundamental_bucket,AAP,good,weak
2024Q1,pre_llm_fundamental_bucket,AAT,good,strong
2024Q1,pre_llm_fundamental_bucket,ABG,strong,good
2024Q1,pre_llm_fundamental_bucket,ABM,weak,good
2024Q1,pre_llm_fundamental_bucket,ABT,strong,mixed
2024Q1,score_change,A,1.0000,0.0
2024Q1,score_change,AAT,2.0000,0.0
2024Q1,score_change,ABG,1.0000,0.0
2024Q1,score_change,ABM,-2.0000,0.0
2024Q1,score_change,ACA,2.0000,0.0
2024Q1,entry_raw_score,A,6,3
2024Q1,entry_raw_score,AAP,6,33
2024Q1,entry_raw_score,ABG,8,3
2024Q1,entry_raw_score,ABNB,0,-4
2024Q1,entry_raw_score,ABT,3,-4
2024Q1,entry_score_0_100,A,6,3
2024Q1,entry_score_0_100,AAP,6,33
2024Q1,entry_score_0_100,ABG,8,3
2024Q1,entry_score_0_100,ABT,3,0
2024Q1,entry_score_0_100,ACA,54,3
2024Q1,tier_structure_score,ACCO,29,25
2024Q1,tier_structure_score,ACDC,25,29
2024Q1,tier_structure_score,AES,0,10
2024Q1,tier_structure_score,AHCO,18,22
2024Q1,tier_structure_score,AHR,22,18
2024Q1,hp_structure_score,AAP,0,18
2024Q1,hp_structure_score,ACA,8,0
2024Q1,hp_structure_score,ADBE,10,0
2024Q1,hp_structure_score,AFRM,18,0
2024Q1,hp_structure_score,AGYS,8,0
2024Q1,llm_business_improvement_score,AAP,0,13
2024Q1,llm_business_improvement_score,ACA,40,0
2024Q1,llm_business_improvement_score,ACCO,14,2
2024Q1,llm_business_improvement_score,ACDC,26,20
2024Q1,llm_business_improvement_score,ADBE,32,0
2024Q1,fundamental_rerating_score,A,6,3
2024Q1,fundamental_rerating_score,AAP,6,9
2024Q1,fundamental_rerating_score,ABG,8,3
2024Q1,fundamental_rerating_score,ABM,4,3
2024Q1,fundamental_rerating_score,ABNB,1,0
2024Q1,risk_penalty_score,AAP,0,22
2024Q1,risk_penalty_score,ABM,1,0
2024Q1,risk_penalty_score,ABNB,1,4
2024Q1,risk_penalty_score,ABT,0,4
2024Q1,risk_penalty_score,ACCO,14,22
2024Q2,tradable_date,A,2024-05-30,2024-06-04
2024Q2,tradable_date,AAP,2024-05-30,2024-05-31
2024Q2,tradable_date,AAT,2024-05-01,2024-05-06
2024Q2,tradable_date,ABG,2024-04-26,2024-04-29
2024Q2,tradable_date,ABT,2024-04-18,2024-05-03
2024Q2,entry_open,A,125.300003,131.24000549316406
2024Q2,entry_open,AAP,62.509998,67.88999938964844
2024Q2,entry_open,AAT,21.129999,21.700000762939453
2024Q2,entry_open,ABG,217.119995,222.50999450683594
2024Q2,entry_open,ABT,106.5,106.11000061035156
2024Q2,pre_llm_fundamental_score,AAP,7,-1
2024Q2,pre_llm_fundamental_score,AAT,1,6
