variant,quarter,selection_rank,selected_sleeve,selected_sleeve_rank,ticker,core_refill_source,demoted_replacement_for,right_tail_exception_score,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
top15_v4_core_deterioration_refill_strict,2022Q2,3,core,3,CTLP,original_top10,,,-16.171,-4.6468,-0.3717,5.7621,18.5874
top15_v4_core_deterioration_refill_strict,2022Q2,4,core,4,DCGO,original_top10,,,2.5641,20.9936,9.2949,19.2308,45.3526
top15_v4_core_deterioration_refill_strict,2022Q2,5,core,5,SMCI,original_top10,,,0.2381,17.0714,19.9762,7.2143,1.1905
top15_v4_core_deterioration_refill_strict,2022Q2,6,core,6,PAYO,original_top10,,,12.9545,21.8182,-8.6364,2.2727,29.0909
top15_v4_core_deterioration_refill_strict,2022Q2,7,core,7,TWI,original_top10,,,16.6201,18.8548,34.2179,-3.352,18.5056
top15_v4_core_deterioration_refill_strict,2022Q2,8,core,8,WTTR,original_top10,,,-7.5144,-1.9653,0.6936,-27.052,-17.2254
top15_v4_core_deterioration_refill_strict,2022Q2,9,core,9,RNGR,original_top10,,,0.9346,0.7269,8.8266,6.7497,-4.9844
top15_v4_core_deterioration_refill_strict,2022Q2,10,core,10,STGW,original_top10,,,10.7463,18.0597,12.8358,-20.8955,-9.1045
top15_v4_core_deterioration_refill_strict,2022Q2,11,right_tail_exception,1,GNE,,,97.0,14.6497,31.0509,35.1911,42.0382,57.6433
top15_v4_core_deterioration_refill_strict,2022Q2,12,right_tail_exception,2,HIMS,,,95.0,-9.7686,3.856,0.7712,38.3033,71.4653
top15_v4_core_deterioration_refill_strict,2022Q2,13,right_tail_exception,3,ARCB,,,85.0,0.8826,-5.7841,4.2498,-3.8697,19.294
top15_v4_core_deterioration_refill_strict,2022Q2,14,right_tail_exception,4,FELE,,,85.0,2.556,3.509,6.9025,5.3574,20.6931
top15_v4_core_deterioration_refill_strict,2022Q2,15,right_tail_exception,5,SKY,,,85.0,3.5967,-9.2405,-8.3222,13.1242,16.6061
top15_v4_core_deterioration_refill_downgrade,2022Q2,1,core,1,CTLP,original_top10,,,-16.171,-4.6468,-0.3717,5.7621,18.5874
top15_v4_core_deterioration_refill_downgrade,2022Q2,2,core,2,DCGO,original_top10,,,2.5641,20.9936,9.2949,19.2308,45.3526
top15_v4_core_deterioration_refill_downgrade,2022Q2,3,core,3,SMCI,original_top10,,,0.2381,17.0714,19.9762,7.2143,1.1905
top15_v4_core_deterioration_refill_downgrade,2022Q2,4,core,4,PAYO,original_top10,,,12.9545,21.8182,-8.6364,2.2727,29.0909
top15_v4_core_deterioration_refill_downgrade,2022Q2,5,core,5,WTTR,original_top10,,,-7.5144,-1.9653,0.6936,-27.052,-17.2254
top15_v4_core_deterioration_refill_downgrade,2022Q2,6,core,6,RNGR,original_top10,,,0.9346,0.7269,8.8266,6.7497,-4.9844
top15_v4_core_deterioration_refill_downgrade,2022Q2,7,core,7,STGW,original_top10,,,10.7463,18.0597,12.8358,-20.8955,-9.1045
top15_v4_core_deterioration_refill_downgrade,2022Q2,8,core,8,ARCB,next_ranked_core_candidate,KOS,,0.8826,-5.7841,4.2498,-3.8697,19.294
top15_v4_core_deterioration_refill_downgrade,2022Q2,9,core,9,FELE,next_ranked_core_candidate,TH,,2.556,3.509,6.9025,5.3574,20.6931
top15_v4_core_deterioration_refill_downgrade,2022Q2,10,core,10,SKY,next_ranked_core_candidate,TWI,,3.5967,-9.2405,-8.3222,13.1242,16.6061
top15_v4_core_deterioration_refill_downgrade,2022Q2,11,right_tail_exception,1,GNE,,,97.0,14.6497,31.0509,35.1911,42.0382,57.6433
top15_v4_core_deterioration_refill_downgrade,2022Q2,12,right_tail_exception,2,HIMS,,,95.0,-9.7686,3.856,0.7712,38.3033,71.4653
top15_v4_core_deterioration_refill_downgrade,2022Q2,13,right_tail_exception,3,BOOT,,,83.0,-20.8115,-11.3167,-10.1958,-25.8225,-31.504
top15_v4_core_deterioration_refill_downgrade,2022Q2,14,right_tail_exception,4,CMCO,,,83.0,10.9385,-0.6472,-0.8414,0.5178,8.7379
top15_v4_core_deterioration_refill_downgrade,2022Q2,15,right_tail_exception,5,SAH,,,83.0,8.9281,5.0327,10.3557,-9.3153,-0.3871
top15_v4_core_deterioration_refill_strict,2022Q3,1,core,1,KLXE,original_top10,,,6.4972,0.1412,2.6836,38.5593,127.4011
top15_v4_core_deterioration_refill_strict,2022Q3,2,core,2,POWL,original_top10,,,5.1724,0.1149,-8.5824,-18.046,-3.6398
top15_v4_core_deterioration_refill_strict,2022Q3,3,core,3,DCGO,original_top10,,,7.5,11.5217,7.5,15.9783,-12.1739
top15_v4_core_deterioration_refill_strict,2022Q3,4,core,4,RDNW,original_top10,,,-9.622,-12.2948,-11.5311,-44.6735,-40.1298
top15_v4_core_deterioration_refill_strict,2022Q3,5,core,5,HIMS,original_top10,,,-10.7463,-9.2537,-1.4925,-25.5224,-31.0448
top15_v4_core_deterioration_refill_strict,2022Q3,6,core,6,INSW,original_top10,,,9.0545,7.0182,18.2909,24.7636,64.2545
top15_v4_core_deterioration_refill_strict,2022Q3,7,core,7,ARLO,original_top10,,,-18.642,-23.2099,-30,-43.9506,-42.2222
top15_v4_core_deterioration_refill_strict,2022Q3,8,core,8,LMB,original_top10,,,27.7311,31.4286,37.7311,30.2521,34.1177
top15_v4_core_deterioration_refill_strict,2022Q3,9,core,9,HAE,original_top10,,,3.0913,1.2824,6.1825,1.6199,11.3661
top15_v4_core_deterioration_refill_strict,2022Q3,10,core,10,STKL,original_top10,,,2.7778,2.1605,4.321,0.7202,7.4074
top15_v4_core_deterioration_refill_strict,2022Q3,11,right_tail_exception,1,TH,,,101.0,62.6963,83.9005,65.445,77.356,53.0105
top15_v4_core_deterioration_refill_strict,2022Q3,12,right_tail_exception,2,WTI,,,92.0,14.6789,35.0459,15.0459,32.2936,64.9541
top15_v4_core_deterioration_refill_strict,2022Q3,13,right_tail_exception,3,HRI,,,80.0,17.7075,22.6338,14.1195,9.7653,-3.8305
top15_v4_core_deterioration_refill_strict,2022Q3,14,right_tail_exception,4,WHD,,,80.0,10.0027,19.7931,10.1884,13.0273,36.8267
top15_v4_core_deterioration_refill_downgrade,2022Q3,1,core,1,POWL,original_top10,,,5.1724,0.1149,-8.5824,-18.046,-3.6398
top15_v4_core_deterioration_refill_downgrade,2022Q3,2,core,2,LMB,original_top10,,,27.7311,31.4286,37.7311,30.2521,34.1177
top15_v4_core_deterioration_refill_downgrade,2022Q3,3,core,3,STKL,original_top10,,,2.7778,2.1605,4.321,0.7202,7.4074
top15_v4_core_deterioration_refill_downgrade,2022Q3,4,core,4,ALTG,next_ranked_core_candidate,KLXE,,-6.0606,-10.5303,-0.0758,-16.0606,-8.0303
top15_v4_core_deterioration_refill_downgrade,2022Q3,5,core,5,WTTR,next_ranked_core_candidate,DCGO,,-10.0955,0.5457,-1.7735,-1.2278,25.7845
top15_v4_core_deterioration_refill_downgrade,2022Q3,6,core,6,RLGT,next_ranked_core_candidate,RDNW,,-19.2857,-13.4286,-20.2857,-17,-25.7143
top15_v4_core_deterioration_refill_downgrade,2022Q3,7,core,7,SMCI,next_ranked_core_candidate,HIMS,,2.6575,18.4352,26.2776,7.7309,3.3079
top15_v4_core_deterioration_refill_downgrade,2022Q3,8,core,8,CVGI,next_ranked_core_candidate,INSW,,1.2113,-3.7685,-18.4388,-36.6083,-30.821
top15_v4_core_deterioration_refill_downgrade,2022Q3,9,core,9,GHM,next_ranked_core_candidate,ARLO,,27.809,23.0337,33.8483,23.4551,25
top15_v4_core_deterioration_refill_downgrade,2022Q3,10,core,10,MEC,next_ranked_core_candidate,HAE,,10.1983,5.3824,-3.1161,-6.6572,10.7649
top15_v4_core_deterioration_refill_downgrade,2022Q3,11,right_tail_exception,1,TH,,,101.0,62.6963,83.9005,65.445,77.356,53.0105
top15_v4_core_deterioration_refill_downgrade,2022Q3,12,right_tail_exception,2,WTI,,,92.0,14.6789,35.0459,15.0459,32.2936,64.9541
top15_v4_core_deterioration_refill_downgrade,2022Q3,13,right_tail_exception,3,HRI,,,80.0,17.7075,22.6338,14.1195,9.7653,-3.8305
top15_v4_core_deterioration_refill_downgrade,2022Q3,14,right_tail_exception,4,WHD,,,80.0,10.0027,19.7931,10.1884,13.0273,36.8267
top15_v4_core_deterioration_refill_strict,2022Q4,1,core,1,NTNX,original_top10,,,11.6575,-0.619,-9.5598,-4.7111,-2.0977
top15_v4_core_deterioration_refill_strict,2022Q4,2,core,2,LMB,original_top10,,,11.923,38.4829,37.6711,33.9596,50.3132
top15_v4_core_deterioration_refill_strict,2022Q4,3,core,3,WTTR,original_top10,,,-3.139,-8.1839,-11.7713,-6.5022,-4.3722
top15_v4_core_deterioration_refill_strict,2022Q4,4,core,4,POWL,original_top10,,,16.2187,9.0625,9.9062,41.7187,37.9375
top15_v4_core_deterioration_refill_strict,2022Q4,5,core,5,NRDS,original_top10,,,7.2087,11.6513,0.0838,-19.1953,0.5029
top15_v4_core_deterioration_refill_strict,2022Q4,6,core,6,FET,original_top10,,,0.9207,2.9037,0.602,3.1162,13.9164
top15_v4_core_deterioration_refill_strict,2022Q4,7,core,7,GTX,original_top10,,,14.8204,8.3832,6.7365,13.7725,14.521
top15_v4_core_deterioration_refill_strict,2022Q4,8,core,8,DCGO,original_top10,,,-13.4969,-16.1963,-18.8957,-10.7975,21.3497
top15_v4_core_deterioration_refill_strict,2022Q4,9,core,9,EZPW,original_top10,,,9.4875,-5.7797,-7.3064,-6.1069,-0.8724
top15_v4_core_deterioration_refill_strict,2022Q4,10,core,10,MEC,original_top10,,,35.8073,43.4896,65.4948,65.3646,108.3333
top15_v4_core_deterioration_refill_strict,2022Q4,11,right_tail_exception,1,ACLS,,,103.0,32.7946,37.4174,39.2249,35.9054,100.1217
top15_v4_core_deterioration_refill_strict,2022Q4,12,right_tail_exception,2,RNGR,,,100.0,-1.3787,1.011,2.7574,1.1949,0.0919
top15_v4_core_deterioration_refill_strict,2022Q4,13,right_tail_exception,3,CXM,,,99.0,14.5405,5.2126,6.4472,44.7188,51.166
top15_v4_core_deterioration_refill_strict,2022Q4,14,right_tail_exception,4,IBP,,,83.0,0.799,3.4749,9.0932,11.2999,48.7001
top15_v4_core_deterioration_refill_strict,2022Q4,15,right_tail_exception,5,MXL,,,83.0,-0.5166,12.3975,8.66,0.8812,18.5658
top15_v4_core_deterioration_refill_downgrade,2022Q4,1,core,1,NTNX,original_top10,,,11.6575,-0.619,-9.5598,-4.7111,-2.0977
top15_v4_core_deterioration_refill_downgrade,2022Q4,2,core,2,LMB,original_top10,,,11.923,38.4829,37.6711,33.9596,50.3132
top15_v4_core_deterioration_refill_downgrade,2022Q4,3,core,3,NRDS,original_top10,,,7.2087,11.6513,0.0838,-19.1953,0.5029
top15_v4_core_deterioration_refill_downgrade,2022Q4,4,core,4,GTX,original_top10,,,14.8204,8.3832,6.7365,13.7725,14.521
top15_v4_core_deterioration_refill_downgrade,2022Q4,5,core,5,DCGO,original_top10,,,-13.4969,-16.1963,-18.8957,-10.7975,21.3497
top15_v4_core_deterioration_refill_downgrade,2022Q4,6,core,6,EZPW,original_top10,,,9.4875,-5.7797,-7.3064,-6.1069,-0.8724
top15_v4_core_deterioration_refill_downgrade,2022Q4,7,core,7,MEC,original_top10,,,35.8073,43.4896,65.4948,65.3646,108.3333
top15_v4_core_deterioration_refill_downgrade,2022Q4,8,core,8,SXC,next_ranked_core_candidate,WTTR,,12.4157,10.1215,14.9798,14.0351,19.8381
top15_v4_core_deterioration_refill_downgrade,2022Q4,9,core,9,ZETA,next_ranked_core_candidate,POWL,,6.1831,-0.9512,4.3995,-0.8323,7.9667
top15_v4_core_deterioration_refill_downgrade,2022Q4,10,core,10,HIMS,next_ranked_core_candidate,FET,,-1.5332,3.2368,23.5094,10.0511,33.5605
top15_v4_core_deterioration_refill_downgrade,2022Q4,11,right_tail_exception,1,ACLS,,,103.0,32.7946,37.4174,39.2249,35.9054,100.1217
top15_v4_core_deterioration_refill_downgrade,2022Q4,12,right_tail_exception,2,CXM,,,99.0,14.5405,5.2126,6.4472,44.7188,51.166
top15_v4_core_deterioration_refill_downgrade,2022Q4,13,right_tail_exception,3,HLX,,,99.0,27.5046,24.0437,14.0255,34.9727,38.0692
top15_v4_core_deterioration_refill_downgrade,2022Q4,14,right_tail_exception,4,IBP,,,83.0,0.799,3.4749,9.0932,11.2999,48.7001
top15_v4_core_deterioration_refill_downgrade,2022Q4,15,right_tail_exception,5,MXL,,,83.0,-0.5166,12.3975,8.66,0.8812,18.5658
top15_v4_core_deterioration_refill_strict,2023Q1,1,core,1,WTTR,original_top10,,,2.9412,-16.8449,-15.508,0.1337,4.1444
top15_v4_core_deterioration_refill_strict,2023Q1,2,core,2,MELI,original_top10,,,7.9957,4.4264,2.4535,5.6996,7.4498
top15_v4_core_deterioration_refill_strict,2023Q1,3,core,3,ARLO,original_top10,,,30.8434,30.6024,57.5904,66.0241,133.9759
top15_v4_core_deterioration_refill_strict,2023Q1,4,core,4,AAOI,original_top10,,,-6.3973,-16.4983,-42.0875,-32.3232,-41.0774
top15_v4_core_deterioration_refill_strict,2023Q1,5,core,5,OKTA,original_top10,,,-1.2469,1.5926,3.0247,-15.2593,12.2222
top15_v4_core_deterioration_refill_strict,2023Q1,6,core,6,RPD,original_top10,,,-6.8618,-8.4513,-22.8145,-10.157,-10.3702
top15_v4_core_deterioration_refill_strict,2023Q1,7,core,7,HIMS,original_top10,,,-15.8537,-9.3809,-7.0356,12.758,-16.6979
top15_v4_core_deterioration_refill_strict,2023Q1,8,core,8,STKL,original_top10,,,0.9138,-2.0888,2.611,7.7024,-12.141
top15_v4_core_deterioration_refill_strict,2023Q1,9,core,9,ATRO,original_top10,,,24.9362,17.5319,23.4894,11.9149,37.1915
top15_v4_core_deterioration_refill_strict,2023Q1,10,core,10,CXM,next_ranked_core_candidate,CTLP,,0.6988,-1.0093,-7.1429,2.8727,8.4627
top15_v4_core_deterioration_refill_strict,2023Q1,11,right_tail_exception,1,GNE,,,101.0,27.7412,56.9079,71.6009,77.193,54.1667
top15_v4_core_deterioration_refill_strict,2023Q1,12,right_tail_exception,2,GHM,,,101.0,15.7352,22.8719,23.7317,17.4549,7.1367
top15_v4_core_deterioration_refill_strict,2023Q1,13,right_tail_exception,3,DUOL,,,100.0,19.067,28.1398,38.2892,35.1857,45.5339
top15_v4_core_deterioration_refill_strict,2023Q1,14,right_tail_exception,4,AXON,,,84.0,1.0827,5.241,7.7177,3.478,-7.4638
top15_v4_core_deterioration_refill_strict,2023Q1,15,right_tail_exception,5,MMS,,,81.0,-1.0158,-1.685,-10.1936,0.4063,-4.8996
top15_v4_core_deterioration_refill_downgrade,2023Q1,1,core,1,WTTR,original_top10,,,2.9412,-16.8449,-15.508,0.1337,4.1444
top15_v4_core_deterioration_refill_downgrade,2023Q1,2,core,2,MELI,original_top10,,,7.9957,4.4264,2.4535,5.6996,7.4498
top15_v4_core_deterioration_refill_downgrade,2023Q1,3,core,3,ARLO,original_top10,,,30.8434,30.6024,57.5904,66.0241,133.9759
top15_v4_core_deterioration_refill_downgrade,2023Q1,4,core,4,AAOI,original_top10,,,-6.3973,-16.4983,-42.0875,-32.3232,-41.0774
top15_v4_core_deterioration_refill_downgrade,2023Q1,5,core,5,STKL,original_top10,,,0.9138,-2.0888,2.611,7.7024,-12.141
top15_v4_core_deterioration_refill_downgrade,2023Q1,6,core,6,MG,next_ranked_core_candidate,OKTA,,-3.0303,17.2905,36.3636,22.8164,29.7683
top15_v4_core_deterioration_refill_downgrade,2023Q1,7,core,7,NPKI,next_ranked_core_candidate,RPD,,-7.3996,-3.1712,-17.5476,-16.7019,-17.759
top15_v4_core_deterioration_refill_downgrade,2023Q1,8,core,8,RES,next_ranked_core_candidate,HIMS,,-4.9495,-4.9495,-8.6869,-20,-25.3535
top15_v4_core_deterioration_refill_downgrade,2023Q1,9,core,9,GNE,next_ranked_core_candidate,CTLP,,27.7412,56.9079,71.6009,77.193,54.1667
top15_v4_core_deterioration_refill_downgrade,2023Q1,10,core,10,AIOT,next_ranked_core_candidate,ATRO,,-7.8689,0.3279,-0.3279,-1.9672,9.5082
top15_v4_core_deterioration_refill_downgrade,2023Q1,11,right_tail_exception,1,SLQT,,,100.0,15.0646,14.2037,23.5294,290.2439,175.4663
top15_v4_core_deterioration_refill_downgrade,2023Q1,12,right_tail_exception,2,DUOL,,,100.0,19.067,28.1398,38.2892,35.1857,45.5339
top15_v4_core_deterioration_refill_downgrade,2023Q1,13,right_tail_exception,3,SPNT,,,81.0,2.5641,3.9886,4.7009,30.9117,34.3305
top15_v4_core_deterioration_refill_downgrade,2023Q1,14,right_tail_exception,4,GTLS,,,80.0,3.1154,-21.7217,-14.0801,-4.6766,-18.9787
top15_v4_core_deterioration_refill_downgrade,2023Q1,15,right_tail_exception,5,WHD,,,80.0,2.8035,-17.1878,-14.5568,-11.3435,-25.9651
top15_v4_core_deterioration_refill_strict,2023Q2,1,core,1,ARLO,original_top10,,,24.9663,29.5547,25.3711,48.3131,38.0567
top15_v4_core_deterioration_refill_strict,2023Q2,2,core,2,CTLP,original_top10,,,12.069,7.2414,17.069,30.6896,28.1034
top15_v4_core_deterioration_refill_strict,2023Q2,3,core,3,GBTG,original_top10,,,13.1068,12.7832,28.479,15.0485,8.7379
top15_v4_core_deterioration_refill_strict,2023Q2,4,core,4,WTTR,original_top10,,,3.0345,7.4483,4.9655,12.4138,14.2069
top15_v4_core_deterioration_refill_strict,2023Q2,5,core,5,NPKI,original_top10,,,-1.8041,3.3505,6.4433,34.5361,43.5567
top15_v4_core_deterioration_refill_strict,2023Q2,6,core,6,SMHI,original_top10,,,1.5892,-5.5012,-3.423,37.0416,47.9218
top15_v4_core_deterioration_refill_strict,2023Q2,7,core,7,CCL,original_top10,,,29.0848,20.0678,23.5254,6.5085,-5.7627
top15_v4_core_deterioration_refill_strict,2023Q2,8,core,8,EXAS,original_top10,,,4.8533,1.7557,10.1204,19.0243,5.9694
top15_v4_core_deterioration_refill_strict,2023Q2,9,core,9,GRBK,original_top10,,,25.6736,20.5838,28.9421,39.3962,38.498
top15_v4_core_deterioration_refill_strict,2023Q2,10,core,10,TAP,original_top10,,,-3.0884,-6.2529,-2.8298,1.3388,1.2019
top15_v4_core_deterioration_refill_strict,2023Q2,11,right_tail_exception,1,LFST,,,104.0,-1.0714,-2.5,-0.2381,5.4762,-4.0476
top15_v4_core_deterioration_refill_strict,2023Q2,12,right_tail_exception,2,PKOH,,,101.0,16.9331,11.6279,20.1308,38.8808,42.9506
top15_v4_core_deterioration_refill_strict,2023Q2,13,right_tail_exception,3,SHAK,,,84.0,11.5873,4.6032,9.127,22.6508,18.5238
top15_v4_core_deterioration_refill_strict,2023Q2,14,right_tail_exception,4,INTA,,,82.0,-8.6591,-5.4318,-2.4773,-6.6591,-17.5
top15_v4_core_deterioration_refill_strict,2023Q2,15,right_tail_exception,5,NBR,,,80.0,-11.1698,-20.7928,-16.2267,-12.6517,8.5765
top15_v4_core_deterioration_refill_downgrade,2023Q2,1,core,1,CTLP,original_top10,,,12.069,7.2414,17.069,30.6896,28.1034
top15_v4_core_deterioration_refill_downgrade,2023Q2,2,core,2,GBTG,original_top10,,,13.1068,12.7832,28.479,15.0485,8.7379
top15_v4_core_deterioration_refill_downgrade,2023Q2,3,core,3,WTTR,original_top10,,,3.0345,7.4483,4.9655,12.4138,14.2069
top15_v4_core_deterioration_refill_downgrade,2023Q2,4,core,4,NPKI,original_top10,,,-1.8041,3.3505,6.4433,34.5361,43.5567
