removed_column,reason
theme_source_type,removed because column was 100% blank after source-file enrichment
theme_source_date,removed because column was 100% blank after source-file enrichment
theme_source_available_date,removed because column was 100% blank after source-file enrichment
theme_evidence_accession,removed because column was 100% blank after source-file enrichment
theme_evidence_hash,removed because column was 100% blank after source-file enrichment
theme_score_allowed_for_historical_scoring,removed because column was 100% blank after source-file enrichment
theme_score,removed because column was 100% blank after source-file enrichment
prior_score_addition,removed because column was 100% blank after source-file enrichment
monitoring_adjustment,removed because column was 100% blank after source-file enrichment
monitoring_score_0_100,removed because column was 100% blank after source-file enrichment
final_rank_score_0_100,removed because column was 100% blank after source-file enrichment
rank_score_label,removed because column was 100% blank after source-file enrichment
hard_reject_reason,removed because column was 100% blank after source-file enrichment
manual_override_outcome,removed because column was 100% blank after source-file enrichment
research_priority,removed because column was 100% blank after source-file enrichment
selection_missing_reason,removed because column was 100% blank after source-file enrichment
selection_ranking_source_columns,removed because column was 100% blank after source-file enrichment
shadow_demoted_replacement_for,removed because column was 100% blank after source-file enrichment
shadow_demoted_core_replacement_ticker,removed because column was 100% blank after source-file enrichment
shadow_replacement_for_demoted_ticker,removed because column was 100% blank after source-file enrichment
shadow_replacement_delta_90d_pct,removed because column was 100% blank after source-file enrichment
shadow_core_deterioration_strict_override_required,removed because column was 100% blank after source-file enrichment
shadow_core_deterioration_reason_codes,removed because column was 100% blank after source-file enrichment
future_outcome_missing_reason,removed because column was 100% blank after source-file enrichment
return_horizon_type,removed because column was 100% blank after source-file enrichment
return_exit_date_rule,removed because column was 100% blank after source-file enrichment
return_10d_pct,removed because column was 100% blank after source-file enrichment
return_exit_date_10d,removed because column was 100% blank after source-file enrichment
return_exit_price_10d,removed because column was 100% blank after source-file enrichment
return_20d_pct,removed because column was 100% blank after source-file enrichment
return_exit_date_20d,removed because column was 100% blank after source-file enrichment
return_exit_price_20d,removed because column was 100% blank after source-file enrichment
return_30d_pct,removed because column was 100% blank after source-file enrichment
return_exit_date_30d,removed because column was 100% blank after source-file enrichment
return_exit_price_30d,removed because column was 100% blank after source-file enrichment
return_60d_pct,removed because column was 100% blank after source-file enrichment
return_exit_date_60d,removed because column was 100% blank after source-file enrichment
return_exit_price_60d,removed because column was 100% blank after source-file enrichment
return_90d_pct,removed because column was 100% blank after source-file enrichment
return_exit_date_90d,removed because column was 100% blank after source-file enrichment
return_exit_price_90d,removed because column was 100% blank after source-file enrichment
historical_source_sha256,removed because column was 100% blank after source-file enrichment
current_2026q2_source_sha256,removed because column was 100% blank after source-file enrichment
akg_universe_tier,removed because column was 100% blank after source-file enrichment
macro_mode,removed because column was 100% blank after source-file enrichment
macro_spy,removed because column was 100% blank after source-file enrichment
macro_entry_action,removed because column was 100% blank after source-file enrichment
macro_position_size_multiplier,removed because column was 100% blank after source-file enrichment
shadow_demoted_core_candidate_rank_x,removed because column was 100% blank after source-file enrichment
shadow_replacement_core_candidate_rank_x,removed because column was 100% blank after source-file enrichment
shadow_demoted_core_candidate_rank_y,removed because column was 100% blank after source-file enrichment
shadow_replacement_core_candidate_rank_y,removed because column was 100% blank after source-file enrichment
financial_values_source,removed because column was 100% blank after source-file enrichment
financial_values_namespace,removed because column was 100% blank after source-file enrichment
financial_values_concepts,removed because column was 100% blank after source-file enrichment
financial_values_source_file,removed because column was 100% blank after source-file enrichment
financial_values_missing_fields,removed because column was 100% blank after source-file enrichment
score_recompute_reason,removed because column was 100% blank after source-file enrichment
identity_fill_source,removed because column was 100% blank after source-file enrichment
