sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags,score_change,entry_qoq_pct,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch,hp_production_extension,hp_research_extension
HPX000011,2022Q3,TSLA,2022-07-05,>$10B,good,3,1,2,1,2022-07-06,230.779999,4.2320,12.1674,24.8678,18.9098,8.0856,0001564590-22-025153,tsla-ex991_6.htm,earnings_exhibit,1926,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TSLA_000156459022025153_tsla-ex991_6.htm.txt,9,,2.0,-39.0707,HP1 - Quality pullback re-rater,,,,,HP production extension,HP research extension
HPX000012,2022Q4,AAPL,2022-10-27,>$10B,strong,8,2,2,1,2022-10-28,148.199997,-6.2618,1.7004,-2.6856,-12.2605,-2.8610,0000320193-22-000107,a8-kex991q4202209242022.htm,earnings_exhibit,11076,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019322000107_a8-kex991q4202209242022.htm.txt,18,,0.0,-8.0873,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000013,2022Q4,AMZN,2022-10-27,>$10B,good,4,2,2,0,2022-10-28,97.910004,-7.5375,-3.1253,-4.0445,-15.1874,1.3380,0001018724-22-000021,amzn-20220930xex991.htm,earnings_exhibit,44570,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMZN_000101872422000021_amzn-20220930xex991.htm.txt,18,,-3.0,-27.4203,HP1 - Quality pullback re-rater,,,,,HP production extension,HP research extension
HPX000014,2022Q4,META,2022-10-26,>$10B,strong,7,2,2,1,2022-10-27,97.980003,-1.2860,15.5644,11.0227,19.2896,44.4172,0001326801-22-000105,meta09302022-exhibit991.htm,earnings_exhibit,21534,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/META_000132680122000105_meta09302022-exhibit991.htm.txt,18,,0.0,-39.1655,HP1 - Quality pullback re-rater,,,,,HP production extension,HP research extension
HPX000015,2023Q1,AAPL,2023-02-02,>$10B,strong,8,2,2,1,2023-02-03,148.029999,3.9316,0.9255,3.9181,11.8895,11.9976,0000320193-23-000005,a8-kex991q1202312312022.htm,earnings_exhibit,9758,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019323000005_a8-kex991q1202312312022.htm.txt,17,,0.0,-0.1147,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000016,2023Q1,GOOG,2023-02-02,>$10B,strong,8,2,2,1,2023-02-03,103.510002,-8.2214,-12.0182,-7.6611,1.5554,1.6424,0001652044-23-000013,googexhibit991q42022.htm,earnings_exhibit,23333,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOG_000165204423000013_googexhibit991q42022.htm.txt,18,,1.0,6.976,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000017,2023Q1,GOOGL,2023-02-02,>$10B,strong,8,2,2,1,2023-02-03,102.930000,-8.0832,-11.6973,-7.5780,1.7390,1.7099,0001652044-23-000013,googexhibit991q42022.htm,earnings_exhibit,23333,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOGL_000165204423000013_googexhibit991q42022.htm.txt,18,,1.0,6.7406,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000018,2023Q1,META,2023-02-01,>$10B,strong,8,2,2,1,2023-02-02,183.380005,-2.1540,-6.6856,0.8289,16.1904,29.2562,0001326801-23-000008,meta-12312022xexhibit991.htm,earnings_exhibit,22247,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/META_000132680123000008_meta-12312022xexhibit991.htm.txt,18,,1.0,87.1606,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000019,2023Q1,TSLA,2023-01-03,>$10B,strong,6,1,2,1,2023-01-04,109.110001,20.5114,31.8761,74.1179,77.6281,76.5008,0001564590-23-000002,tsla-ex991_6.htm,earnings_exhibit,2863,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TSLA_000156459023000002_tsla-ex991_6.htm.txt,11,,3.0,-56.4466,HP1 - Quality pullback re-rater,,,,,HP production extension,HP research extension
HPX000020,2023Q2,AVGO,2023-06-01,$2B-$10B,strong,7,2,2,1,2023-06-02,79.064003,8.1858,6.5504,10.8520,16.3614,16.7270,0001730168-23-000062,avgo-04302023x8kxex99.htm,earnings_exhibit,24610,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AVGO_000173016823000062_avgo-04302023x8kxex99.htm.txt,18,,2.0,27.9974,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000021,2023Q2,GOOG,2023-04-20,>$10B,strong,8,2,2,1,2023-04-21,106.089996,1.5270,10.1895,18.6446,16.7405,12.6685,0001652044-23-000034,googex991q12023blogpost.htm,earnings_exhibit,8205,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOG_000165204423000034_googex991q12023blogpost.htm.txt,18,,0.0,2.4925,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000022,2023Q2,GOOGL,2023-04-20,>$10B,strong,8,2,2,1,2023-04-21,105.470001,1.6403,10.5243,18.5645,16.7157,13.0179,0001652044-23-000034,googex991q12023blogpost.htm,earnings_exhibit,8205,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOGL_000165204423000034_googex991q12023blogpost.htm.txt,18,,0.0,2.4677,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000023,2023Q2,META,2023-04-26,>$10B,strong,8,2,2,1,2023-04-27,239.889999,-2.7596,1.0838,9.4335,16.0824,24.4612,0001326801-23-000063,meta03312023-exhibit991.htm,earnings_exhibit,20214,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/META_000132680123000063_meta03312023-exhibit991.htm.txt,18,,0.0,30.8158,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000024,2023Q3,AAPL,2023-08-03,>$10B,strong,8,2,2,1,2023-08-04,185.520004,-3.2665,-4.9267,2.2531,-7.0720,-4.2853,0000320193-23-000075,a8-kex991q3202307012023.htm,earnings_exhibit,10226,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019323000075_a8-kex991q3202307012023.htm.txt,16,,1.0,8.5039,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000025,2023Q3,TSLA,2023-07-03,>$10B,strong,7,2,2,1,2023-07-05,278.820007,4.1460,-4.8562,-8.9520,-8.0088,-11.5810,0000950170-23-031241,tsla-ex99_1.htm,earnings_exhibit,1761,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TSLA_000095017023031241_tsla-ex99_1.htm.txt,8,,2.0,41.3035,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000026,2023Q4,AAPL,2023-11-02,>$10B,strong,8,2,2,1,2023-11-03,174.240005,6.0606,9.0278,8.7179,6.5427,7.2429,0000320193-23-000104,a8-kex991q4202309302023.htm,earnings_exhibit,10322,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019323000104_a8-kex991q4202309302023.htm.txt,17,,0.0,-6.0802,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000027,2024Q1,AAPL,2024-02-01,>$10B,strong,9,2,2,1,2024-02-02,179.860001,4.0531,2.5075,-2.6465,-6.1270,-3.7974,0000320193-24-000005,a8-kex991q1202412302023.htm,earnings_exhibit,9890,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019324000005_a8-kex991q1202412302023.htm.txt,18,,1.0,3.2254,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000028,2024Q1,AMZN,2024-02-01,>$10B,good,5,1,2,0,2024-02-02,169.190002,1.8618,3.1858,4.9589,6.7971,9.1790,0001018724-24-000006,amzn-20231231xex991.htm,earnings_exhibit,56184,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMZN_000101872424000006_amzn-20231231xex991.htm.txt,18,,2.0,34.065,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000029,2024Q1,BRK-B,2024-02-26,>$10B,strong,7,2,2,1,2024-02-27,409.209991,-1.4809,-0.1955,2.7639,-2.0161,-1.2976,0001193125-24-045977,d795719dex991.htm,earnings_exhibit,6291,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BRK-B_000119312524045977_d795719dex991.htm.txt,14,,6.0,17.9789,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000030,2024Q1,GOOG,2024-01-30,>$10B,strong,8,2,2,1,2024-01-31,145.389999,2.2973,-2.1941,-5.0279,7.6415,13.2403,0001652044-24-000014,googexhibit991q42023.htm,earnings_exhibit,24293,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOG_000165204424000014_googexhibit991q42023.htm.txt,18,,1.0,12.0367,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000031,2024Q1,GOOGL,2024-01-30,>$10B,strong,8,2,2,1,2024-01-31,143.619995,2.7225,-1.7407,-4.5119,8.2649,13.3408,0001652044-24-000014,googexhibit991q42023.htm,earnings_exhibit,24293,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOGL_000165204424000014_googexhibit991q42023.htm.txt,18,,1.0,12.063,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000032,2024Q1,TSLA,2024-01-02,>$10B,strong,8,2,2,1,2024-01-03,244.979996,-10.2335,-14.6298,-23.2958,-23.2019,-31.9822,0000950170-24-000282,tsla-ex99_1.htm,earnings_exhibit,2159,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TSLA_000095017024000282_tsla-ex99_1.htm.txt,10,,1.0,-1.4601,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000033,2024Q2,GOOG,2024-04-25,>$10B,strong,8,2,2,1,2024-04-26,175.990005,-3.5002,-0.3182,1.1535,5.4492,-3.8809,0001652044-24-000047,googexhibit991q12024.htm,earnings_exhibit,24821,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOG_000165204424000047_googexhibit991q12024.htm.txt,18,,0.0,21.0468,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000034,2024Q2,GOOGL,2024-04-25,>$10B,strong,8,2,2,1,2024-04-26,174.369995,-3.5958,-0.1090,1.1642,5.5399,-4.0661,0001652044-24-000047,googexhibit991q12024.htm,earnings_exhibit,24821,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOGL_000165204424000047_googexhibit991q12024.htm.txt,18,,0.0,21.4107,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000035,2024Q2,META,2024-04-24,>$10B,strong,8,2,2,1,2024-04-25,421.399994,10.5078,14.2715,13.8870,18.3935,9.4613,0001326801-24-000044,meta-03312024xexhibit991.htm,earnings_exhibit,16872,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/META_000132680124000044_meta-03312024xexhibit991.htm.txt,18,,1.0,-8.3116,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000036,2024Q2,TSLA,2024-04-02,>$10B,strong,8,2,2,1,2024-04-03,164.020004,-1.5486,-11.7913,10.4682,7.4808,40.9950,0000950170-24-040274,tsla-ex99_1.htm,earnings_exhibit,2212,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TSLA_000095017024040274_tsla-ex99_1.htm.txt,11,,0.0,-33.0476,HP1 - Quality pullback re-rater,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000037,2024Q3,AAPL,2024-08-01,>$10B,strong,8,2,2,1,2024-08-02,219.149994,-0.7392,2.4549,1.6518,3.2215,3.0846,0000320193-24-000080,a8-kex991q3202406292024.htm,earnings_exhibit,10400,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019324000080_a8-kex991q3202406292024.htm.txt,17,,1.0,17.4123,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000038,2024Q4,AAPL,2024-10-31,>$10B,strong,8,2,2,1,2024-11-01,220.970001,1.4753,3.4168,8.4265,13.3276,7.5214,0000320193-24-000120,a8-kex991q4202409282024.htm,earnings_exhibit,13395,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019324000120_a8-kex991q4202409282024.htm.txt,18,,0.0,0.8305,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000039,2024Q4,WMT,2024-11-19,>$10B,strong,6,1,1,1,2024-11-20,86.599998,6.9746,9.1801,6.5127,7.4827,19.8383,0000104169-24-000170,earningspresentationfy25.htm,earnings_exhibit,52631,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/WMT_000010416924000170_earningspresentationfy25.htm.txt,18,,4.0,19.1197,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000040,2025Q1,AAPL,2025-01-30,>$10B,strong,9,2,2,1,2025-01-31,247.190002,-7.9049,-0.5502,-3.7057,-9.7091,-13.7020,0000320193-25-000007,a8-kex991q1202512282024.htm,earnings_exhibit,9749,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019325000007_a8-kex991q1202512282024.htm.txt,17,,1.0,11.8659,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000041,2025Q1,AMZN,2025-02-06,>$10B,strong,7,1,2,1,2025-02-07,232.500000,-2.5161,-10.2194,-16.3269,-26.5978,-17.3849,0001018724-25-000002,amzn-20241231xex991.htm,earnings_exhibit,34296,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMZN_000101872425000002_amzn-20241231xex991.htm.txt,18,,3.0,16.8342,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000042,2025Q1,GOOG,2025-02-04,>$10B,strong,8,2,2,1,2025-02-05,193.100006,-3.7804,-8.1460,-8.9850,-22.7136,-14.4485,0001652044-25-000010,googexhibit991q42024.htm,earnings_exhibit,24072,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOG_000165204425000010_googexhibit991q42024.htm.txt,18,,1.0,5.8604,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000043,2025Q1,GOOGL,2025-02-04,>$10B,strong,8,2,2,1,2025-02-05,191.070007,-3.8206,-8.1907,-9.0072,-23.1957,-14.5706,0001652044-25-000010,googexhibit991q42024.htm,earnings_exhibit,24072,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOGL_000165204425000010_googexhibit991q42024.htm.txt,18,,1.0,5.7505,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000044,2025Q2,GOOG,2025-04-24,>$10B,strong,8,2,2,1,2025-04-25,167.100006,-0.6284,-1.0174,4.1173,0.3830,15.6194,0001652044-25-000040,googexhibit991q12025.htm,earnings_exhibit,22630,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOG_000165204425000040_googexhibit991q12025.htm.txt,18,,0.0,-13.4645,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000045,2025Q2,GOOGL,2025-04-24,>$10B,strong,8,2,2,1,2025-04-25,165.070007,-0.5210,-0.6724,4.7434,1.0299,16.4173,0001652044-25-000040,googexhibit991q12025.htm,earnings_exhibit,22630,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOGL_000165204425000040_googexhibit991q12025.htm.txt,18,,0.0,-13.6076,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000046,2025Q2,META,2025-04-30,>$10B,strong,8,2,2,1,2025-05-01,592.080017,7.9972,7.3335,13.3124,24.6605,17.4183,0001326801-25-000050,meta-03312025xexhibit991.htm,earnings_exhibit,16861,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/META_000132680125000050_meta-03312025xexhibit991.htm.txt,18,,1.0,-15.0311,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000047,2025Q2,TSLA,2025-04-02,>$10B,strong,7,2,2,1,2025-04-03,265.290009,-4.8777,-5.4846,5.6429,29.1756,18.9830,0001628280-25-016070,exhibit9911.htm,earnings_exhibit,2158,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/TSLA_000162828025016070_exhibit9911.htm.txt,9,,4.0,-30.4577,HP1 - Quality pullback re-rater,,,,,HP production extension,HP research extension
HPX000048,2025Q3,AAPL,2025-07-31,>$10B,strong,8,2,2,1,2025-08-01,210.869995,7.7346,6.6534,8.9392,20.7521,28.7049,0000320193-25-000071,a8-kex991q3202506282025.htm,earnings_exhibit,10249,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019325000071_a8-kex991q3202506282025.htm.txt,17,,1.0,2.3194,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000049,2025Q3,AMZN,2025-07-31,>$10B,strong,7,2,2,1,2025-08-01,217.210007,1.8830,2.1822,3.7429,1.0865,2.6012,0001018724-25-000084,amzn-20250630xex991.htm,earnings_exhibit,30692,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMZN_000101872425000084_amzn-20250630xex991.htm.txt,18,,4.0,13.4611,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000050,2025Q3,MSFT,2025-07-30,>$10B,strong,7,2,2,1,2025-07-31,555.229980,-6.0263,-8.9170,-9.0251,-7.3177,-2.4638,0000950170-25-100226,msft-ex99_1.htm,earnings_exhibit,18317,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/MSFT_000095017025100226_msft-ex99_1.htm.txt,17,,3.0,28.7908,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000051,2025Q4,AAPL,2025-10-30,>$10B,strong,8,2,2,1,2025-10-31,276.989990,-2.7293,-3.8774,2.2059,-1.4116,-6.7548,0000320193-25-000077,a8-kex991q4202509272025.htm,earnings_exhibit,13522,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019325000077_a8-kex991q4202509272025.htm.txt,18,,0.0,31.3558,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000052,2025Q4,WMT,2025-11-20,>$10B,strong,6,1,1,1,2025-11-21,107.980003,3.2876,6.9828,4.2786,9.9370,15.6418,0000104169-25-000177,earningspresentationfy26.htm,earnings_exhibit,57669,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/WMT_000010416925000177_earningspresentationfy26.htm.txt,18,,3.0,10.105,,,,,HP4 - Fundamental reacceleration watch tag,,HP research extension
HPX000053,2026Q1,AAPL,2026-01-29,>$10B,strong,9,2,2,1,2026-01-30,255.169998,7.6224,2.1202,3.7426,-0.5408,,0000320193-26-000005,a8-kex991q1202612272025.htm,earnings_exhibit,9895,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AAPL_000032019326000005_a8-kex991q1202612272025.htm.txt,18,,1.0,-7.8775,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000054,2026Q1,AMZN,2026-02-05,>$10B,strong,8,2,2,1,2026-02-06,202.699997,-0.7647,2.5752,5.3231,5.4613,,0001018724-26-000002,amzn-20251231xex991.htm,earnings_exhibit,36290,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AMZN_000101872426000002_amzn-20251231xex991.htm.txt,18,,1.0,-18.9524,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000055,2026Q1,GOOG,2026-02-04,>$10B,strong,8,2,2,1,2026-02-05,313.200012,-3.3142,-0.0543,-2.2957,-4.9617,,0001652044-26-000012,googexhibit991q42025.htm,earnings_exhibit,24900,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOG_000165204426000012_googexhibit991q42025.htm.txt,18,,1.0,7.3632,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
HPX000056,2026Q1,GOOGL,2026-02-04,>$10B,strong,8,2,2,1,2026-02-05,312.220001,-3.2669,0.2178,-1.8769,-3.9171,,0001652044-26-000012,googexhibit991q42025.htm,earnings_exhibit,24900,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOOGL_000165204426000012_googexhibit991q42025.htm.txt,18,,1.0,7.075,,,,HP3 - Large-revenue theme-leader exception,,HP production extension,HP research extension
