sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,score_change,entry_qoq_pct,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags,hp1_quality_pullback,hp2_dislocation_momentum_priority,hp2_dislocation_momentum_watch,hp3_large_quality_theme_exception,hp4_score_reacceleration_watch
HP000019,2022Q1,AVAV,2022-03-03,$100M-$500M,strong,6.0,3.0000,36.8943,1.0,2.0,1.0,3/4/22,75.989998,0001558370-22-002803,avav-20220303xex99d1.htm,earnings_exhibit,29533,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AVAV_000155837022002803_avav-20220303xex99d1.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000020,2022Q1,BARK,2022-01-11,$100M-$500M,good,5.0,2.0000,-37.1981,1.0,1.0,0.0,1/12/22,91.0,0001819574-22-000006,bark-releaseagreementjonej.htm,earnings_exhibit,40260,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BARK_000181957422000006_bark-releaseagreementjonej.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000021,2022Q1,BBBY,2022-02-23,$1B-$2B,strong,6.0,-1.0000,-54.5552,1.0,2.0,-1.0,2/24/22,42.450001,0001130713-22-000005,ex991q421pressrelease.htm,earnings_exhibit,22951,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BBBY_000113071322000005_ex991q421pressrelease.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000022,2022Q1,BDX,2022-02-03,$2B-$10B,strong,7.0,2.0000,10.8298,2.0,2.0,1.0,2/4/22,204.786011,0000010795-22-000014,ex99112312021.htm,earnings_exhibit,31043,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BDX_000001079522000014_ex99112312021.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000023,2022Q1,BIIB,2022-02-03,>$10B,strong,8.0,1.0000,-19.1513,2.0,2.0,1.0,2/4/22,215.300003,0000875045-22-000003,exhibit991-q42021pressrele.htm,earnings_exhibit,55565,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BIIB_000087504522000003_exhibit991-q42021pressrele.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000024,2022Q1,BKNG,2022-02-23,>$10B,strong,8.0,3.0000,-14.8637,2.0,2.0,1.0,2/24/22,86.464401,0001075531-22-000006,ex99112312021.htm,earnings_exhibit,25932,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BKNG_000107553122000006_ex99112312021.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000025,2022Q1,BLKB,2022-02-22,$500M-$1B,strong,6.0,2.0000,-27.2436,1.0,2.0,1.0,2/23/22,56.75,0001280058-22-000007,blkbq42021exhibit991.htm,earnings_exhibit,34496,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BLKB_000128005822000007_blkbq42021exhibit991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000026,2022Q1,BNED,2022-03-08,$1B-$2B,good,3.0,-2.0000,-45.3521,-1.0,1.0,1.0,3/9/22,388.0,0001634117-22-000014,exhibit9912022129q322earni.htm,earnings_exhibit,48732,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BNED_000163411722000014_exhibit9912022129q322earni.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000027,2022Q1,BSY,2022-03-01,$500M-$1B,strong,8.0,0.0000,-32.7052,2.0,2.0,1.0,3/2/22,40.0,0001628280-22-004357,exhibit991-2021q4.htm,earnings_exhibit,31642,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BSY_000162828022004357_exhibit991-2021q4.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000028,2022Q1,BXC,2022-02-22,$2B-$10B,strong,6.0,2.0000,69.2337,1.0,1.0,1.0,2/23/22,89.0,0001301787-22-000004,q42021earnings991.htm,earnings_exhibit,35173,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BXC_000130178722000004_q42021earnings991.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000029,2022Q1,CALM,2022-03-29,$500M-$1B,good,3.0,4.0000,50.9672,1.0,1.0,1.0,3/30/22,53.849998,0001562762-22-000149,exhibit991.htm,earnings_exhibit,15581,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CALM_000156276222000149_exhibit991.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000030,2022Q1,CARR,2022-02-08,>$10B,strong,8.0,2.0000,-12.2853,2.0,2.0,1.0,2/9/22,46.98,0001783180-22-000008,a8-kerexhibit99xq42021.htm,earnings_exhibit,27607,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CARR_000178318022000008_a8-kerexhibit99xq42021.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000031,2022Q1,CCOI,2022-02-24,$100M-$500M,strong,6.0,0.0000,-22.4806,1.0,2.0,1.0,2/25/22,60.0,0001104659-22-026341,tm226749d1_99-1.htm,earnings_exhibit,46345,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CCOI_000110465922026341_tm226749d1_99-1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000032,2022Q1,CHRD,2022-02-09,$500M-$1B,good,4.0,5.0000,18.0249,-1.0,2.0,1.0,2/10/22,140.190002,0001486159-22-000008,oas4q21pressrelease292021.htm,earnings_exhibit,19664,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CHRD_000148615922000008_oas4q21pressrelease292021.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000033,2022Q1,CL,2022-01-28,>$10B,strong,8.0,0.0000,8.2248,2.0,2.0,1.0,1/31/22,82.239998,0001157523-22-000117,a52570001ex99.htm,earnings_exhibit,36107,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CL_000115752322000117_a52570001ex99.htm.txt,18,,,,,HP3 - Large-revenue theme-leader exception,
HP000034,2022Q1,COIN,2022-02-24,$500M-$1B,strong,6.0,-1.0000,-44.9178,2.0,2.0,0.0,2/25/22,180.240005,0001679788-22-000029,shareholderletterfye2021.htm,earnings_exhibit,55965,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/COIN_000167978822000029_shareholderletterfye2021.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000035,2022Q1,COOK,2022-03-23,$100M-$500M,strong,6.0,0.0000,-59.8204,1.0,2.0,1.0,3/24/22,358.0,0001857853-22-000020,q4-21earningspressrelease.htm,earnings_exhibit,30420,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/COOK_000185785322000020_q4-21earningspressrelease.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000036,2022Q1,CRNC,2022-02-07,$100M-$500M,strong,7.0,6.0000,-50.2662,2.0,2.0,1.0,2/8/22,41.099998,0001193125-22-029093,d219536dex991.htm,earnings_exhibit,32429,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CRNC_000119312522029093_d219536dex991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000037,2022Q1,CROX,2022-02-16,$1B-$2B,strong,6.0,-2.0000,-36.0352,1.0,1.0,1.0,2/17/22,94.540001,0001334036-22-000007,crox123121earningsreleasea.htm,earnings_exhibit,33803,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CROX_000133403622000007_crox123121earningsreleasea.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000038,2022Q1,CRSP,2022-02-15,$100M-$500M,good,5.0,9.0000,-37.6281,2.0,2.0,-1.0,2/16/22,59.639999,0000950170-22-001279,crsp-ex99_1.htm,earnings_exhibit,23073,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CRSP_000095017022001279_crsp-ex99_1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000039,2022Q1,CSGP,2022-02-22,$1B-$2B,good,4.0,0.0000,-50.2917,1.0,2.0,-1.0,2/23/22,49.419998,0001057352-22-000022,q42021earningspressrelease.htm,earnings_exhibit,31524,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CSGP_000105735222000022_q42021earningspressrelease.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000040,2022Q1,CTRN,2022-01-10,$500M-$1B,strong,8.0,5.0000,-20.4229,1.0,2.0,1.0,1/11/22,69.629997,0001104659-22-002482,tm222328d1_ex99-1.htm,earnings_exhibit,9035,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CTRN_000110465922002482_tm222328d1_ex99-1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000041,2022Q1,CWH,2022-02-22,$2B-$10B,strong,8.0,1.0000,-22.1569,1.0,2.0,1.0,2/23/22,31.76,0001558370-22-001592,cwh-20220222xex99d1.htm,earnings_exhibit,58113,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CWH_000155837022001592_cwh-20220222xex99d1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000042,2022Q1,DFIN,2022-02-22,$500M-$1B,good,5.0,-1.0000,-24.8009,1.0,1.0,1.0,2/23/22,33.049999,0000950170-22-001525,dfin-ex99_1.htm,earnings_exhibit,40096,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/DFIN_000095017022001525_dfin-ex99_1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000043,2022Q1,DIN,2022-03-02,$500M-$1B,strong,7.0,6.0000,-23.1480,2.0,2.0,1.0,3/3/22,70.650002,0001193125-22-062244,d281144dex991.htm,earnings_exhibit,39969,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/DIN_000119312522062244_d281144dex991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000044,2022Q1,DOCU,2022-03-10,$1B-$2B,good,4.0,0.0000,-50.4522,-1.0,2.0,1.0,3/11/22,76.699997,0001261333-22-000031,q422ex-991er.htm,earnings_exhibit,32993,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/DOCU_000126133322000031_q422ex-991er.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000045,2022Q1,DUOL,2022-03-03,$100M-$500M,good,4.0,2.0000,-58.6445,-1.0,2.0,0.0,3/4/22,72.0,0001562088-22-000033,q4fy21pressrelease.htm,earnings_exhibit,19207,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/DUOL_000156208822000033_q4fy21pressrelease.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000046,2022Q1,EBAY,2022-02-23,$2B-$10B,strong,7.0,0.0000,-32.1491,2.0,2.0,1.0,2/24/22,50.23,0001065088-22-000003,exhibit991erebayq42021.htm,earnings_exhibit,40068,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EBAY_000106508822000003_exhibit991erebayq42021.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000047,2022Q1,ENVA,2022-02-03,$500M-$1B,strong,8.0,2.0000,21.9474,2.0,2.0,1.0,2/4/22,38.950001,0001564590-22-003827,d215981dex991.htm,earnings_exhibit,23238,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ENVA_000156459022003827_d215981dex991.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000048,2022Q1,EOG,2022-02-24,>$10B,strong,7.0,3.0000,17.1317,2.0,2.0,1.0,2/25/22,111.239998,0000821189-22-000015,exh99-1022422.htm,earnings_exhibit,73039,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EOG_000082118922000015_exh99-1022422.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000049,2022Q1,EPAM,2022-02-17,$1B-$2B,strong,7.0,1.0000,-38.4822,1.0,2.0,1.0,2/18/22,446.25,0001352010-22-000013,exhibit99_q4x2021.htm,earnings_exhibit,21729,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EPAM_000135201022000013_exhibit99_q4x2021.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000050,2022Q1,EXPI,2022-02-24,$1B-$2B,strong,7.0,0.0000,-39.8885,1.0,1.0,1.0,2/25/22,28.030001,0001558370-22-001797,expi-20220224xex99d1.htm,earnings_exhibit,19547,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EXPI_000155837022001797_expi-20220224xex99d1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000051,2022Q1,EYE,2022-02-28,$1B-$2B,good,5.0,0.0000,-32.8486,1.0,1.0,1.0,3/1/22,36.939999,0001710155-22-000008,exhibit991-202110xk.htm,earnings_exhibit,52719,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/EYE_000171015522000008_exhibit991-202110xk.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000052,2022Q1,FANG,2022-02-22,$2B-$10B,mixed,0.0,1.0000,18.0501,-1.0,2.0,0.0,2/23/22,129.559998,0001193125-22-048650,d302272dex991.htm,earnings_exhibit,46593,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/FANG_000119312522048650_d302272dex991.htm.txt,18,,,HP2 - Dislocation momentum re-rater,HP2 - Dislocation momentum watch,,
HP000053,2022Q1,FIGS,2022-01-10,$100M-$500M,strong,7.0,0.0000,-30.2345,1.0,2.0,0.0,1/11/22,25.290001,0000950170-22-000172,figs-ex99_1.htm,earnings_exhibit,12662,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/FIGS_000095017022000172_figs-ex99_1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000054,2022Q1,FIVE,2022-03-30,$1B-$2B,good,4.0,4.0000,-21.6980,1.0,2.0,1.0,3/31/22,161.309998,0001177609-22-000008,q42021fivebelowexhibit991.htm,earnings_exhibit,16256,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/FIVE_000117760922000008_q42021fivebelowexhibit991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000055,2022Q1,FOXF,2022-02-24,$500M-$1B,good,5.0,4.0000,-28.2600,2.0,1.0,0.0,2/25/22,130.0,0001424929-22-000012,a2021q4pressreleaseex991.htm,earnings_exhibit,32552,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/FOXF_000142492922000012_a2021q4pressreleaseex991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000056,2022Q1,GDOT,2022-02-24,$500M-$1B,good,4.0,0.0000,-42.5747,1.0,2.0,-1.0,2/25/22,26.139999,0001386278-22-000003,a12312021-exb9901earningsr.htm,earnings_exhibit,41346,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GDOT_000138627822000003_a12312021-exb9901earningsr.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000057,2022Q1,GL,2022-02-02,$2B-$10B,strong,6.0,3.0000,13.5547,2.0,2.0,1.0,2/3/22,104.300003,0000320335-22-000002,q4fy2021earningsrelease.htm,earnings_exhibit,25745,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GL_000032033522000002_q4fy2021earningsrelease.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000058,2022Q1,GLW,2022-01-26,$2B-$10B,strong,6.0,3.0000,10.2522,1.0,2.0,1.0,1/27/22,40.220001,0001437749-22-001651,ex_280341.htm,earnings_exhibit,48787,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GLW_000143774922001651_ex_280341.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000059,2022Q1,GNRC,2022-02-16,$1B-$2B,strong,8.0,1.0000,-34.8214,2.0,2.0,1.0,2/17/22,311.559998,0001437749-22-003484,ex_336002.htm,earnings_exhibit,31299,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GNRC_000143774922003484_ex_336002.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000060,2022Q1,GOLF,2022-03-01,$1B-$2B,good,5.0,-2.0000,-20.6791,1.0,1.0,1.0,3/2/22,44.150002,0001672013-22-000005,ex991-q42021document.htm,earnings_exhibit,36332,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/GOLF_000167201322000005_ex991-q42021document.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000061,2022Q1,HAIN,2022-01-18,$100M-$500M,good,5.0,0.0000,-24.6891,1.0,1.0,1.0,1/19/22,36.330002,0001193125-22-010541,d243026dex991.htm,earnings_exhibit,10855,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HAIN_000119312522010541_d243026dex991.htm.txt,17,,HP1 - Quality pullback re-rater,,,,
HP000062,2022Q1,HCC,2022-02-22,$100M-$500M,strong,7.0,5.0000,23.8457,2.0,2.0,1.0,2/23/22,32.59,0001691303-22-000004,exhibit-99112312021.htm,earnings_exhibit,35888,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HCC_000169130322000004_exhibit-99112312021.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000063,2022Q1,HCI,2022-03-08,$100M-$500M,strong,7.0,1.0000,-53.1985,2.0,2.0,1.0,3/9/22,62.48,0000950170-22-003137,hci-ex99_1.htm,earnings_exhibit,19086,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HCI_000095017022003137_hci-ex99_1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000064,2022Q1,HLF,2022-02-23,$2B-$10B,strong,7.0,-1.0000,-21.2681,1.0,1.0,1.0,2/24/22,35.389999,0001157523-22-000242,a52583940ex99_1.htm,earnings_exhibit,33148,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLF_000115752322000242_a52583940ex99_1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000065,2022Q1,HLIO,2022-02-28,$100M-$500M,strong,6.0,2.0000,-25.2408,1.0,2.0,1.0,3/1/22,78.400002,0000950170-22-002307,hlio-ex99_1.htm,earnings_exhibit,39725,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLIO_000095017022002307_hlio-ex99_1.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
HP000066,2022Q1,HNI,2022-02-28,$1B-$2B,strong,7.0,6.0000,11.9613,1.0,2.0,1.0,3/1/22,40.529999,0000048287-22-000068,hni-ex991q42021.htm,earnings_exhibit,33229,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HNI_000004828722000068_hni-ex991q42021.htm.txt,18,,,,,,HP4 - Fundamental reacceleration watch tag
HP000067,2022Q1,IBP,2022-02-24,$1B-$2B,good,3.0,-5.0000,-27.5953,1.0,1.0,0.0,2/25/22,93.879997,0001193125-22-051050,d169785dex991.htm,earnings_exhibit,35646,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/IBP_000119312522051050_d169785dex991.htm.txt,18,,HP1 - Quality pullback re-rater,,,,
