quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason
2024Q3,SPG,1063761,0001104659-24-085817,2024-08-05,tm2419636d1_8k.htm,tm2419636d2_ex99-1.htm,,5002,144314,0,85,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SPGI,64040,0000064040-24-000146,2024-07-30,spgi-20240730.htm,spgi2q2024-earningsrelease.htm,,3535,47005,0,27,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SPHR,1795250,0001795250-24-000028,2024-08-14,sphr-20240814.htm,exhibit991sphereentertainm.htm,,3384,28042,0,8,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SPNT,1576018,0001576018-24-000041,2024-08-01,siriuspointannouncesdivide.htm,exhibit991-earningspressre.htm;exhibit992-financialsupple.htm;q22024spntinvestorpresen.htm,,1591,126037,0,28,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included
2024Q3,SPOK,1289945,0001289945-24-000045,2024-07-24,spok-20240724.htm,a2q24-ex991earningspressre.htm,,3003,22284,0,25,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SPT,1517375,0001517375-24-000097,2024-08-01,spt-20240801.htm,a2q24earningsreleasefina.htm;a2q24investorpresentatio.htm,,7149,64241,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,SPXC,88205,0000088205-24-000048,2024-08-01,spxc-20240801.htm,q22024pressrelease.htm,,3323,32972,0,16,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SR,1126956,0001437749-24-023987,2024-07-31,ex_684778.htm,spre20240606_8k.htm,,21639,3491,0,5,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SRRK,1727196,0001558370-24-011465,2024-08-08,srrk-20240808x8k.htm,srrk-20240808xex99d1.htm;srrk-20240808xex99d2.htm,,3821,47314,0,51,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,SRTA,1779128,0001779128-24-000095,2024-08-07,blde-20240807.htm,blde-earningreleasexq22024.htm,,3643,36451,0,19,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SRTS,1494891,0001213900-24-066621,2024-08-08,ea0210736-8k_sensus.htm,ea021073601ex99-1_sensus.htm,,3469,17760,0,12,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SSNC,1402436,0000950170-24-086510,2024-07-25,ssnc-20240725.htm,ssnc-ex99_1.htm;ssnc-ex99_2.htm,,5071,53138,0,10,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,SSP,832428,0000832428-24-000033,2024-08-09,ssp-20240808.htm,ssp-20240809ex991.htm,,3027,25195,0,13,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SSTI,1351636,0000950170-24-095374,2024-08-12,ssti-20240806.htm,ssti-ex99_1.htm,,4372,55338,0,4,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SSTK,1549346,0001549346-24-000031,2024-08-06,sstk-20240806.htm,a2024-q2_exx991xpressrelea.htm,,3960,36531,0,13,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STAA,718937,0000950170-24-092728,2024-08-07,staa-20240807.htm,staa-ex99_1.htm;staa-ex99_2.htm,,4026,45959,0,7,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,STC,94344,0001104659-24-082353,2024-07-24,tm2420110d1_8k.htm,tm2420110d1_ex99-1.htm,,3202,25280,0,15,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STE,1757898,0001757898-24-000014,2024-08-06,ste-20240806.htm,ste6302024ex991.htm,,3990,30472,0,18,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STEP,1796022,0001796022-24-000061,2024-08-08,step-20240808.htm,stepfy2025q1earningspressr.htm,,3390,44673,0,16,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STGW,876883,0000876883-24-000020,2024-08-01,stgw-20240801.htm,stagwell2q24earningspres.htm;stgw2024630pr.htm,,4205,63342,0,15,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,STI,0001881551,0001213900-24-069913,2024-08-16,ea0211606-8k_solidion.htm,ea021160601ex99-1_solidion.htm,,3877,6104,0,8,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STKL,351834,0001062993-24-014631,2024-08-07,form8k.htm,exhibit99-1.htm,,3671,29463,0,13,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STKS,1399520,0001558370-24-011111,2024-08-06,stks-20240806x8k.htm,stks-20240806xex99d1.htm,,2936,31100,0,35,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STLD,1022671,0001104659-24-080714,2024-07-18,tm2419718d1_8k.htm,tm2419718d1_ex99-1.htm,,3455,22687,0,11,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STOK,1623526,0000950170-24-092268,2024-08-07,stok-20240807.htm,stok-ex99_1.htm,,2895,15521,0,2,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STRA,1013934,0001013934-24-000016,2024-07-31,stra-20240731.htm,exhibit991.htm,,3201,28367,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STRL,874238,0000874238-24-000118,2024-08-05,strl-20240805.htm,a20240805ex991earningsrele.htm;q22024earningsreleaseppp.htm,,4519,31811,0,7,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,STRO,1382101,0000950170-24-096313,2024-08-13,stro-20240813.htm,stro-ex99_1.htm,,3467,13640,0,2,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STT,93751,0000093751-24-000662,2024-07-16,R2.htm,a2q24earningspressrelease.htm;exhibit992-2q24earningsrel.htm;stt2q24earningspresentat.htm,,1915,161201,0,38,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included
2024Q3,STTK,1680367,0001680367-24-000038,2024-08-01,sttk-20240801.htm,sttk_2q2024earningsrelease1.htm,,3590,12351,0,2,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STX,1137789,0001137789-24-000061,2024-07-23,stx-20240723.htm,stxq42024pressreleasefinan.htm,,5445,31035,0,10,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,STZ,16918,0000016918-24-000109,2024-07-03;2024-09-03,stz-20240702.htm,stzex99-1_053124.pdf;stzex991_53120248k10q.htm;stzex991_932024guidanceupd.htm,,7183,412458,0,45,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:error_HTTPError,True,included
2024Q3,SUPN,1356576,0001356576-24-000039,2024-07-23;2024-08-06,supn-20240723.htm,ex99107-23x2024.htm;ex99108-06x2024.htm,,3207,2500,0,0,no_tables_detected,primary_8k:cached;exhibit_1:cached;exhibit_2:error_HTTPError,True,included
2024Q3,SVV,0001883313,0001883313-24-000032,2024-08-08,svv-20240808.htm,pressreleaseex991_q2fy24xj.htm,,3449,34573,0,14,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SWBI,1092796,0001193125-24-214184,2024-09-05,d889907d8k.htm,d889907dex991.htm,,3615,17091,0,13,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SWIM,1833197,0001104659-24-086290,2024-08-06,tm2420590d1_8k.htm,tm2420590d1_ex99.htm,,3559,30024,0,28,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SWK,93556,0000093556-24-000136,2024-07-30,swk-20240730.htm,ex991q22024.htm;exhibit992financialsq22024.htm,,3267,40473,0,15,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,SWKS,4127,0000004127-24-000068,2024-07-30,swks-20240730.htm,q3248-kex991earningsrelease.htm,,3664,26634,0,6,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SWX,1692115,0001692115-24-000097,2024-08-06,swx-20240806.htm,swx63024-earningsrelease.htm,,3340,40727,0,13,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SXC,1514705,0001514705-24-000015,2024-07-31,R2.htm,q2_2024sxcearningsdeckxv.htm;sxcearningsrelease2024q2.htm,,8845,38649,0,9,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,SXT,310142,0001140361-24-034308,2024-07-26,ef20032964_8k.htm,ef20032964_ex99-1.htm;ef20032964_ex99-2.htm,,4407,35848,0,41,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included
2024Q3,SYK,310764,0000310764-24-000095,2024-07-30,syk-20240730.htm,sykex991earningsq22024.htm,,3955,28786,0,18,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SYM,1837240,0001837240-24-000162,2024-07-29,sym-20240729.htm,q3248-k_ex991.htm,,3501,23343,0,9,has_tables,primary_8k:cached;exhibit_1:cached,True,included
2024Q3,SYNA,817720,0000950170-24-093944,2024-08-08,syna-20240808.htm,syna-ex99_1.htm,,3553,24099,0,5,has_tables,primary_8k:cached;exhibit_1:cached,True,included
