Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today,revenue_value,net_income_margin,operating_cash_flow_margin,fcf_proxy,fcf_proxy_margin,financing_dependence,accrual_spread,asset_turnover,cash_quality_score,cash_quality_bucket
ADV,$500M-$1B,-47587000,3779323000,-6878000,-7278000,43086000,-59.0152,944382000.0,-0.05039,0.045623,35808000.0,0.037917,0.0,-0.096013,0.249881,-0.012473,-1 to 0 mixed
AEE,$2B-$10B,265000000,40830000000,489000000,-964000000,496000000,57.2811,2062000000.0,0.128516,0.240543,-468000000.0,-0.226964,0.237148,-0.112027,0.050502,-0.335597,-1 to 0 mixed
AEIS,$100M-$500M,30921000,2556757000,-10805000,-16210000,29811000,248.2485,425040000.0,0.072748,0.070137,13601000.0,0.031999,0.0,0.002612,0.166242,0.099525,0 to 1 okay
AEO,$1B-$2B,18453000,3373894000,1908000,-46020000,-8216000,-11.0698,1080926000.0,0.017071,-0.007601,-54236000.0,-0.050175,0.001765,0.024672,0.320379,-0.084214,-1 to 0 mixed
AEP,$2B-$10B,400400000,96684000000,1364400000,-2245200000,717800000,52.6978,4690900000.0,0.085357,0.15302,-1527400000.0,-0.325609,0.290861,-0.067663,0.048518,-0.531113,-1 to 0 mixed
AES,$2B-$10B,151000000,44799000000,1016000000,-1624000000,625000000,-18.7325,3239000000.0,0.046619,0.192961,-999000000.0,-0.308429,0.313677,-0.146341,0.072301,-0.575486,-1 to 0 mixed
AESI,$100M-$500M,1734000,1261686000,277351000,-60940000,54235000,-15.269,153418000.0,0.011302,0.353511,-6705000.0,-0.043704,1.807813,-0.342209,0.121598,-1.840214,-2 to -1 weak
AFL,$2B-$10B,1188000000,126724000000,-933000000,-77000000,890000000,28.1897,4800000000.0,0.2475,0.185417,813000000.0,0.169375,0.0,0.062083,0.037878,0.292708,0 to 1 okay
AFRM,$1B-$2B,-251269000,8155615000,740396000,-875896000,-31608000,94.5382,1142160000.0,-0.219995,-0.027674,-907504000.0,-0.794551,0.648242,-0.192321,0.140046,-1.662787,-2 to -1 weak
AGX,$100M-$500M,2109000,475694000,-6494000,28750000,-1248000,781.6723,103675000.0,0.020342,-0.012038,27502000.0,0.265271,0.0,0.03238,0.217945,0.220854,0 to 1 okay
AGYS,$100M-$500M,6478000,243036000,-4901000,-25679000,28475000,-36.1731,162636000.0,0.039831,0.175084,2796000.0,0.017192,0.0,-0.135253,0.669185,0.057023,0 to 1 okay
AHCO,$500M-$1B,15707000,4508650000,4448000,-89567000,140248000,30.3912,744626000.0,0.021094,0.188347,50681000.0,0.068062,0.005973,-0.167253,0.165155,0.083183,0 to 1 okay
AHR,$100M-$500M,-25872000,4577933000,-14300000,-33319000,23862000,244.1558,452226000.0,-0.05721,0.052766,-9457000.0,-0.020912,0.0,-0.109976,0.098784,-0.078122,-1 to 0 mixed
AHRT,$100M-$500M,4709000,2562898000,22860000,-51344000,13055000,-44.7606,144175000.0,0.032662,0.09055,-38289000.0,-0.265573,0.158557,-0.057888,0.056255,-0.391469,-1 to 0 mixed
AI,$100M-$500M,-192065000,1103028000,5711000,317015000,-86462000,-69.4319,252759000.0,-0.759874,-0.342073,230553000.0,0.912146,0.022595,-0.417801,0.22915,0.129677,0 to 1 okay
AIG,$10B-$50B,30000000,539306000000,817000000,-1474000000,497000000,3.1712,10984000000.0,0.002731,0.045248,-977000000.0,-0.088948,0.074381,-0.042516,0.020367,-0.160597,-1 to 0 mixed
AIOT,$100M-$500M,-12766000,226044000,16211000,-3027000,-5390000,-28.5249,125960000.0,-0.10135,-0.042791,-8417000.0,-0.066823,0.1287,-0.058558,0.557237,-0.296872,-1 to 0 mixed
AJG,$2B-$10B,486500000,45094400000,958100000,-256600000,428500000,-17.0654,2706100000.0,0.179779,0.158346,171900000.0,0.063523,0.354052,0.021433,0.06001,-0.153616,-1 to 0 mixed
AKAM,$500M-$1B,97106000,9900037000,-357289000,-119888000,233499000,5.9499,600293000.0,0.161764,0.388975,113611000.0,0.189259,0.0,-0.227211,0.060635,0.351024,0 to 1 okay
ALB,$2B-$10B,1238580000,18270652000,-118676000,-539008000,720980000,107.0394,2580252000.0,0.480023,0.279422,181972000.0,0.070525,0.0,0.200601,0.141224,0.149347,0 to 1 okay
ALG,$100M-$500M,33349000,1409386000,66773000,-6466000,1206000,-1.4007,411771000.0,0.080989,0.002929,-5260000.0,-0.012774,0.162161,0.07806,0.292163,-0.250066,-1 to 0 mixed
ALGM,$500M-$1B,119407000,1181155000,-5307000,-66271000,156129000,52.2478,768674000.0,0.155342,0.203115,89858000.0,0.1169,0.0,-0.047773,0.650782,0.272242,0 to 1 okay
ALGN,$500M-$1B,87798000,6083877000,-258961000,-52829000,199895000,-23.5878,943147000.0,0.09309,0.211945,147066000.0,0.155931,0.0,-0.118854,0.155024,0.249022,0 to 1 okay
ALGT,$500M-$1B,56149000,4869410000,-11877000,-114239000,215400000,57.6083,649687000.0,0.086425,0.331544,101161000.0,0.155707,0.0,-0.24512,0.133422,0.242132,0 to 1 okay
ALKS,$100M-$500M,-41845000,2136223000,-22620000,72850000,-21302000,40.4821,287595000.0,-0.1455,-0.074069,51548000.0,0.179238,0.0,-0.07143,0.134628,0.033738,0 to 1 okay
ALL,$10B-$50B,-320000000,103362000000,121000000,-796000000,601000000,33.4201,13786000000.0,-0.023212,0.043595,-195000000.0,-0.014145,0.008777,-0.066807,0.133376,-0.046134,-1 to 0 mixed
ALLE,$500M-$1B,123500000,4311500000,-15400000,-51400000,69000000,24.5571,923000000.0,0.133803,0.074756,17600000.0,0.019068,0.0,0.059047,0.214079,0.034778,0 to 1 okay
ALRM,$100M-$500M,14207000,1439563000,842000,-12943000,-3521000,-29.5583,209716000.0,0.067744,-0.016789,-16464000.0,-0.078506,0.004015,0.084533,0.14568,-0.183844,-1 to 0 mixed
ALTG,$100M-$500M,1000000,1570900000,37900000,-18900000,-20100000,-4.9068,420700000.0,0.002377,-0.047778,-39000000.0,-0.092703,0.090088,0.050155,0.267808,-0.280723,-1 to 0 mixed
AMAT,$10B-$50B,3292000000,30729000000,-1346000000,-621000000,4562000000,62.8473,13369000000.0,0.246241,0.341237,3941000000.0,0.294786,0.0,-0.094996,0.435061,0.541028,0 to 1 okay
AMC,$500M-$1B,-235500000,9009200000,68900000,-16600000,-189900000,-66.9405,954400000.0,-0.246752,-0.198973,-206500000.0,-0.216366,0.072192,-0.047779,0.105936,-0.53531,-1 to 0 mixed
AMCR,$10B-$50B,868000000,17003000000,-372000000,-149000000,329000000,-20.7252,11021000000.0,0.078759,0.029852,180000000.0,0.016332,0.0,0.048907,0.64818,-0.002722,-1 to 0 mixed
AMCX,$500M-$1B,103610000,4969787000,-28310000,-7005000,-132519000,-11.4389,717447000.0,0.144415,-0.184709,-139524000.0,-0.194473,0.0,0.329124,0.144362,-0.708306,-1 to 0 mixed
AMD,$2B-$10B,-139000000,67885000000,-259000000,-1237000000,486000000,43.7643,5353000000.0,-0.025967,0.09079,-751000000.0,-0.140295,0.0,-0.116757,0.078854,-0.166262,-1 to 0 mixed
AME,$1B-$2B,305712000,15023533000,-214966000,-122160000,386536000,38.4595,1597117000.0,0.191415,0.242021,264376000.0,0.165533,0.0,-0.050606,0.106308,0.356948,0 to 1 okay
AMGN,$2B-$10B,2841000000,97154000000,21509000000,1358000000,1064000000,11.6391,6105000000.0,0.465356,0.174283,2422000000.0,0.396724,3.523178,0.291073,0.062838,-1.720066,-2 to -1 weak
AMKR,$1B-$2B,45351000,6771125000,-66206000,-155704000,175746000,90.0,1471539000.0,0.030819,0.11943,20042000.0,0.01362,0.0,-0.088611,0.217326,0.044439,0 to 1 okay
AMN,$1B-$2B,84110000,2924394000,-44457000,-32431000,43434000,-58.5485,1126223000.0,0.074683,0.038566,11003000.0,0.00977,0.0,0.036117,0.385113,0.012219,0 to 1 okay
AMPH,$100M-$500M,26032000,1512912000,-13548000,-6333000,40382000,-43.8321,140022000.0,0.185914,0.288398,34049000.0,0.243169,0.0,-0.102484,0.092551,0.429083,0 to 1 okay
AMR,$500M-$1B,270771000,2406057000,-231452000,-27891000,177387000,-35.5876,911235000.0,0.297147,0.194667,149496000.0,0.164059,0.0,0.102481,0.378725,0.256245,0 to 1 okay
AMRX,$500M-$1B,-6943000,3472569000,-12900000,-11737000,139712000,98.7402,557540000.0,-0.012453,0.250587,127975000.0,0.229535,0.0,-0.263039,0.160555,0.217082,0 to 1 okay
AMT,$2B-$10B,315000000,66817700000,-1012600000,-276800000,1070500000,-9.3724,2767200000.0,0.113833,0.386853,793700000.0,0.286824,0.0,-0.27302,0.041414,0.400658,0 to 1 okay
AMWD,$1B-$2B,-29722000,1518798000,-41619000,-51572000,24445000,-42.1407,1857186000.0,-0.016004,0.013162,-27127000.0,-0.014607,0.0,-0.029166,1.2228,-0.03061,-1 to 0 mixed
AMZN,>$50B,4294000000,527854000000,14082000000,-54313000000,54330000000,14.347,127358000000.0,0.033716,0.426593,17000000.0,0.000133,0.11057,-0.392877,0.241275,-0.076721,-1 to 0 mixed
ANDE,$2B-$10B,-14750000,4102044000,308817000,-19807000,-333535000,52.8831,3881238000.0,-0.0038,-0.085935,-353342000.0,-0.091038,0.079567,0.082135,0.946172,-0.338675,-1 to 0 mixed
ANET,$1B-$2B,436473000,9946806000,-68403000,-21747000,374483000,93.6568,1351351000.0,0.32299,0.277117,352736000.0,0.261025,0.0,0.045873,0.135858,0.49227,0 to 1 okay
ANF,$500M-$1B,16571000,2974233000,-21956000,-46391000,-560000,-51.4775,835994000.0,0.019822,-0.00067,-46951000.0,-0.056162,0.0,0.020492,0.281079,-0.077324,-1 to 0 mixed
ANGI,$100M-$500M,-15000000,1856215000,-1379000,-95297000,11358000,-60.0,355497000.0,-0.042194,0.03195,-83939000.0,-0.236117,0.0,-0.074144,0.191517,-0.278312,-1 to 0 mixed
ANGO,$100M-$500M,-13004000,532637000,25420000,-8218000,-15876000,82.9752,247678000.0,-0.052504,-0.064099,-24094000.0,-0.09728,0.102633,0.011596,0.465003,-0.275608,-1 to 0 mixed
AON,$2B-$10B,1050000000,33959000000,404000000,205000000,443000000,10.5231,3871000000.0,0.271248,0.114441,648000000.0,0.167399,0.104366,0.156807,0.11399,0.020666,0 to 1 okay
AOS,$500M-$1B,126900000,3213900000,-97500000,-9800000,119900000,-21.4199,966400000.0,0.131312,0.124069,110100000.0,0.113928,0.0,0.007243,0.300694,0.230753,0 to 1 okay
AOSL,$500M-$1B,13468000,1199737000,-6417000,-90603000,48654000,10.7305,529796000.0,0.025421,0.091835,-41949000.0,-0.07918,0.0,-0.066414,0.441593,-0.053758,-1 to 0 mixed
APAM,$100M-$500M,50753000,1405858000,-54849000,-36203000,120936000,-7.7332,234509000.0,0.216422,0.515699,84733000.0,0.361321,0.0,-0.299276,0.166808,0.577743,0 to 1 okay
APD,$2B-$10B,1012000000,32002500000,603400000,-2476000000,1358000000,17.6587,6374800000.0,0.15875,0.213026,-1118000000.0,-0.175378,0.094654,-0.054276,0.199197,-0.111282,-1 to 0 mixed
APEI,$100M-$500M,-5740000,557386000,-2849000,-3206000,12758000,220.3169,149689000.0,-0.038346,0.08523,9552000.0,0.063812,0.0,-0.123576,0.268555,0.025466,0 to 1 okay
APH,$2B-$10B,439200000,16526400000,-265400000,-256600000,532400000,117.5155,2974000000.0,0.14768,0.179018,275800000.0,0.092737,0.0,-0.031338,0.179954,0.240417,0 to 1 okay
APLE,$100M-$500M,32923000,4937298000,-31848000,-24576000,51691000,-8.5223,311454000.0,0.105707,0.165967,27115000.0,0.087059,0.0,-0.060259,0.063082,0.192767,0 to 1 okay
APO,$2B-$10B,1010000000,313488000000,11523000000,-5640000000,1071000000,4.7325,5301000000.0,0.19053,0.202037,-4569000000.0,-0.861913,2.173741,-0.011507,0.01691,-2.671383,<=-2 bad
APP,$500M-$1B,-4518000,5359187000,-111415000,-12975000,288662000,359.5865,715405000.0,-0.006315,0.403495,275687000.0,0.385358,0.0,-0.40981,0.133491,0.379043,0 to 1 okay
APPF,$100M-$500M,-35110000,408889000,-4705000,36288000,1573000,-31.2408,136100000.0,-0.257972,0.011558,37861000.0,0.278185,0.0,-0.26953,0.332853,0.020213,0 to 1 okay
APPN,$100M-$500M,-36829000,627503000,88144000,-12316000,-25265000,-27.7398,135235000.0,-0.272333,-0.186823,-37581000.0,-0.277894,0.651784,-0.08551,0.215513,-1.202011,-2 to -1 weak
APTV,$2B-$10B,162000000,24427000000,-122000000,-309000000,-9000000,-15.07,4818000000.0,0.033624,-0.001868,-318000000.0,-0.066002,0.0,0.035492,0.197241,-0.103362,-1 to 0 mixed
ARCB,$1B-$2B,71283000,2485094000,-46676000,70960000,20663000,17.7927,1106094000.0,0.064446,0.018681,91623000.0,0.082835,0.0,0.045765,0.445091,0.055751,0 to 1 okay
ARES,$500M-$1B,180623000,24730500000,-821144000,-8877000,707572000,-15.2143,653681000.0,0.276317,1.082442,698695000.0,1.068862,0.0,-0.806126,0.026432,1.345179,1 to 2 good
ARLO,$100M-$500M,-14245000,285538000,-4691000,-22672000,10329000,9.8851,140997000.0,-0.101031,0.073257,-12343000.0,-0.087541,0.0,-0.174287,0.493794,-0.188571,-1 to 0 mixed
ARLP,$500M-$1B,191185000,2787749000,-99313000,-147148000,221688000,3.7465,662922000.0,0.288397,0.33441,74540000.0,0.112442,0.0,-0.046013,0.237798,0.400839,0 to 1 okay
AROC,$100M-$500M,16485000,2655950000,-28705000,-57666000,87856000,84.3581,229834000.0,0.071726,0.382258,30190000.0,0.131356,0.0,-0.310533,0.086536,0.203081,0 to 1 okay
ARRY,$100M-$500M,29635000,1706741000,-23762000,-3883000,45816000,-24.1611,376773000.0,0.078655,0.121601,41933000.0,0.111295,0.0,-0.042946,0.220756,0.18995,0 to 1 okay
ARWR,$100M-$500M,7350000,765552000,251096000,-116759000,-107187000,189.2092,208813000.0,0.035199,-0.513316,-223946000.0,-1.072472,1.202492,0.548515,0.272761,-3.336794,<=-2 bad
ASAN,$100M-$500M,-61468000,961960000,9731000,-140366000,-14593000,-54.1278,152411000.0,-0.403304,-0.095748,-154959000.0,-1.016718,0.063847,-0.307557,0.158438,-1.483869,-2 to -1 weak
ASB,$100M-$500M,103360000,41015855000,1230238000,-1076322000,47470000,32.2222,336083000.0,0.307543,0.141245,-1028852000.0,-3.061303,3.660518,0.166298,0.008194,-4.025053,<=-2 bad
ASGN,$1B-$2B,49500000,3544600000,-73400000,-12300000,80500000,-78.4994,1128800000.0,0.043852,0.071315,68200000.0,0.060418,0.0,-0.027463,0.318456,0.10427,0 to 1 okay
ASIX,$1B-$2B,34954000,1496020000,-5128000,-25606000,1575000,2.1323,1297393000.0,0.026942,0.001214,-24031000.0,-0.018523,0.0,0.025728,0.86723,-0.043036,-1 to 0 mixed
ASO,$1B-$2B,93970000,4641934000,-53197000,-40547000,52135000,6.5899,1383609000.0,0.067917,0.03768,11588000.0,0.008375,0.0,0.030236,0.298067,0.015819,0 to 1 okay
ASTH,$100M-$500M,13132000,933361000,-7099000,-14035000,7720000,-14.9543,337244000.0,0.038939,0.022891,-6315000.0,-0.018725,0.0,0.016048,0.361322,-0.011882,-1 to 0 mixed
ATKR,$1B-$2B,173492000,2935009000,-284262000,-156074000,403396000,-42.8792,1729755000.0,0.100299,0.23321,247322000.0,0.142981,0.0,-0.132911,0.589353,0.24328,0 to 1 okay
ATMU,$100M-$500M,52700000,1088600000,-36400000,-6400000,42800000,115.7401,418600000.0,0.125896,0.102246,36400000.0,0.086957,0.0,0.02365,0.384531,0.165552,0 to 1 okay
ATNI,$100M-$500M,-7055000,1783714000,37999000,-52762000,16012000,25.7857,185774000.0,-0.037976,0.086191,-36750000.0,-0.197821,0.204544,-0.124167,0.10415,-0.440341,-1 to 0 mixed
ATO,$2B-$10B,271860000,22516968000,-1438705000,-1410390000,2892716000,59.8614,3024982000.0,0.089872,0.956275,1482326000.0,0.490028,0.0,-0.866404,0.134342,0.5799,0 to 1 okay
ATRO,$100M-$500M,-4415000,633792000,9176000,1864000,-19181000,267.0346,156538000.0,-0.028204,-0.122533,-17317000.0,-0.110625,0.058618,0.094329,0.246986,-0.386104,-1 to 0 mixed
AVA,$100M-$500M,54845000,7702477000,9175000,-106253000,94246000,18.6516,474631000.0,0.115553,0.198567,-12007000.0,-0.025298,0.019331,-0.083014,0.061621,0.070925,0 to 1 okay
AVAV,$100M-$500M,-4185000,824577000,-16607000,-52288000,-9618000,6.5426,232073000.0,-0.018033,-0.041444,-61906000.0,-0.266752,0.0,0.023411,0.281445,-0.331607,-1 to 0 mixed
AVB,$500M-$1B,146775000,20678214000,-486960000,-267339000,396118000,-15.4644,674708000.0,0.217539,0.587095,128779000.0,0.190866,0.0,-0.369557,0.032629,0.408405,0 to 1 okay
AVD,$100M-$500M,1918000,767548000,43777000,-3308000,-41452000,-66.8605,124885000.0,0.015358,-0.331921,-44760000.0,-0.35841,0.350538,0.347279,0.162706,-1.388149,-2 to -1 weak
AVGO,$10B-$50B,3774000000,72861000000,-8980000000,-421000000,8538000000,118.0264,17648000000.0,0.213849,0.483794,8117000000.0,0.459939,0.0,-0.269946,0.242215,0.673787,0 to 1 okay
AVNS,$100M-$500M,-500000,1692400000,-22100000,-4000000,-6800000,22.657,159300000.0,-0.003139,-0.042687,-10800000.0,-0.067797,0.0,0.039548,0.094127,-0.150031,-1 to 0 mixed
AVNT,$500M-$1B,19900000,5968500000,-25600000,-13000000,-22200000,-14.938,845700000.0,0.023531,-0.02625,-35200000.0,-0.041622,0.0,0.049781,0.141694,-0.117654,-1 to 0 mixed
AVNW,$100M-$500M,8189000,364496000,6219000,-11661000,-9005000,-20.8945,243858000.0,0.033581,-0.036927,-20666000.0,-0.084746,0.025503,0.070508,0.669028,-0.217684,-1 to 0 mixed
AVT,$10B-$50B,184261000,12477159000,1122447000,-154130000,-948241000,51.7902,19982273000.0,0.009221,-0.047454,-1102371000.0,-0.055167,0.056172,0.056675,1.601508,-0.215469,-1 to 0 mixed
AVY,$2B-$10B,121200000,8209800000,299800000,-116600000,1900000,-24.9248,2065000000.0,0.058692,0.00092,-114700000.0,-0.055545,0.145182,0.057772,0.251529,-0.257579,-1 to 0 mixed
AWK,$2B-$10B,170000000,28286000000,401000000,-561000000,285000000,2.6722,3914000000.0,0.043434,0.072816,-276000000.0,-0.070516,0.102453,-0.029382,0.138372,-0.129535,-1 to 0 mixed
AWR,$100M-$500M,34407000,2060372000,38330000,-49165000,6964000,9.5107,161423000.0,0.213148,0.043141,-42201000.0,-0.261431,0.237451,0.170007,0.078347,-0.625747,-1 to 0 mixed
AXON,$100M-$500M,45139000,3436845000,37990000,-72674000,-56323000,32.0239,343043000.0,0.131584,-0.164186,-128997000.0,-0.376037,0.110744,0.295771,0.099813,-0.946738,-1 to 0 mixed
AXP,$2B-$10B,1816000000,236000000000,8597000000,-1404000000,-377000000,36.1598,8846000000.0,0.205291,-0.042618,-1781000000.0,-0.201334,0.971852,0.247909,0.037483,-1.463712,-2 to -1 weak
AZZ,$500M-$1B,84022000,2221479000,1245096000,-7466000,11060000,85.4494,525598000.0,0.15986,0.021043,3594000.0,0.006838,2.368913,0.138817,0.236598,-2.110936,<=-2 bad
BA,$10B-$50B,-414000000,137012000000,-1680000000,-1823000000,-318000000,19.539,17921000000.0,-0.023101,-0.017745,-2141000000.0,-0.119469,0.0,-0.005357,0.130799,-0.14257,-1 to 0 mixed
BALL,$2B-$10B,180000000,19303000000,649000000,-336000000,-275000000,2.272,5328000000.0,0.033784,-0.051614,-611000000.0,-0.114677,0.121809,0.085398,0.276019,-0.373498,-1 to 0 mixed
BANC,$500M-$1B,-1195424000,38534064000,4327451000,149467000,-37004000,45.5859,554179000.0,-2.157108,-0.066773,112463000.0,0.202936,7.80876,-2.090335,0.014382,-3.863836,<=-2 bad
BARK,$500M-$1B,-68299000,400420000,355458000,-21172000,-172338000,-73.9266,507406000.0,-0.134604,-0.339645,-193510000.0,-0.381371,0.70054,0.205041,1.267184,-1.626597,-2 to -1 weak
BAX,$2B-$10B,44000000,28276000000,-372000000,-170000000,479000000,-45.5075,3513000000.0,0.012525,0.136351,309000000.0,0.087959,0.0,-0.123826,0.12424,0.100484,0 to 1 okay
BBBY,$100M-$500M,-10307000,635818000,-1705000,-14831000,20007000,-58.539,381140000.0,-0.027043,0.052493,5176000.0,0.01358,0.0,-0.079535,0.599448,-0.013462,-1 to 0 mixed
BBSI,$100M-$500M,819000,721538000,-10763000,-2041000,-26515000,-4.4276,209997000.0,0.0039,-0.126264,-28556000.0,-0.135983,0.0,0.130164,0.291041,-0.39241,-1 to 0 mixed
BBT,$100M-$500M,27637000,12430821000,623886000,-343679000,41000000,39.4818,114139000.0,0.242135,0.359211,-302679000.0,-2.651846,5.46602,-0.117077,0.009182,-3.757865,<=-2 bad
BBY,$2B-$10B,244000000,14688000000,-281000000,-204000000,-331000000,-29.5304,9467000000.0,0.025774,-0.034964,-535000000.0,-0.056512,0.0,0.060737,0.64454,-0.152213,-1 to 0 mixed
BCC,$1B-$2B,96733000,3458646000,-16117000,-29498000,47992000,-29.3021,1544329000.0,0.062638,0.031076,18494000.0,0.011975,0.0,0.031561,0.446513,0.01149,0 to 1 okay
BCO,$1B-$2B,15000000,6601800000,-97100000,-57600000,41100000,4.4643,1185400000.0,0.012654,0.034672,-16500000.0,-0.013919,0.0,-0.022018,0.179557,-0.001265,-1 to 0 mixed
BCPC,$100M-$500M,22710000,1597211000,-33318000,-10061000,34838000,13.4309,232540000.0,0.097661,0.149815,24777000.0,0.106549,0.0,-0.052154,0.145591,0.20421,0 to 1 okay
BDC,$500M-$1B,63192000,3240191000,-63797000,-3843000,-31872000,40.4212,641789000.0,0.098462,-0.049661,-35715000.0,-0.055649,0.0,0.148123,0.198071,-0.253434,-1 to 0 mixed
BDN,$100M-$500M,-5259000,3732447000,134332000,-45023000,5375000,-33.3703,129227000.0,-0.040696,0.041593,-39648000.0,-0.306809,1.039504,-0.082289,0.034623,-1.387009,-2 to -1 weak
