sample_id,quarter,ticker,event_date,causal_change,proof_alignment,durability,operating_leverage_quality,negative_revision_risk,story_vs_numbers_gap_penalty,narrative_delta_score,narrative_delta_bucket,score_addition,detected_driver_category,detected_driver_name,evidence_positive,evidence_risk,confidence,blocking_issues
S000088,2022Q4,HUBS,2022-11-02,,,,,,,,,,,,,,,
S000089,2022Q4,HY,2022-11-01,,,,,,,,,,,,,,,
S000090,2022Q4,IIIV,2022-11-16,,,,,,,,,,,,,,,
S000091,2022Q4,INSW,2022-11-08,,,,,,,,,,,,,,,
S000092,2022Q4,INTA,2022-11-07,,,,,,,,,,,,,,,
S000093,2022Q4,IONS,2022-11-09,,,,,,,,,,,,,,,
S000094,2022Q4,IRTC,2022-11-01,,,,,,,,,,,,,,,
S000095,2022Q4,JRVR,2022-11-01,,,,,,,,,,,,,,,
S000096,2022Q4,KLXE,2022-11-09,,,,,,,,,,,,,,,
S000097,2022Q4,KMT,2022-10-31,,,,,,,,,,,,,,,
S000098,2022Q4,KOS,2022-11-07,,,,,,,,,,,,,,,
S000099,2022Q4,LFCR,2022-10-06,,,,,,,,,,,,,,,
S000100,2022Q4,LFST,2022-11-08,,,,,,,,,,,,,,,
S000101,2022Q4,LMB,2022-11-09,,,,,,,,,,,,,,,
S000102,2022Q4,LPSN,2022-11-07,,,,,,,,,,,,,,,
S000103,2022Q4,LTH,2022-11-09,,,,,,,,,,,,,,,
S000104,2022Q4,LYFT,2022-11-03,,,,,,,,,,,,,,,
S000105,2022Q4,LYV,2022-11-03,,,,,,,,,,,,,,,
S000106,2022Q4,MAT,2022-10-25,,,,,,,,,,,,,,,
S000107,2022Q4,MBLY,2022-12-07,,,,,,,,,,,,,,,
S000108,2022Q4,MCS,2022-11-03,,,,,,,,,,,,,,,
S000109,2022Q4,MDB,2022-12-06,,,,,,,,,,,,,,,
S000110,2022Q4,MEG,2022-11-08,,,,,,,,,,,,,,,
S000111,2022Q4,MELI,2022-11-03,,,,,,,,,,,,,,,
S000112,2022Q4,MGNI,2022-11-09,,,,,,,,,,,,,,,
S000113,2022Q4,MIR,2022-11-01,,,,,,,,,,,,,,,
S000114,2022Q4,MLKN,2022-12-21,,,,,,,,,,,,,,,
S000115,2022Q4,MQ,2022-11-09,,,,,,,,,,,,,,,
S000116,2022Q4,MRVL,2022-12-01,,,,,,,,,,,,,,,
S000117,2022Q4,MTRX,2022-10-07,,,,,,,,,,,,,,,
S000118,2022Q4,NCLH,2022-10-06,,,,,,,,,,,,,,,
S000119,2022Q4,NCNO,2022-11-30,,,,,,,,,,,,,,,
S000120,2022Q4,NEO,2022-11-08,,,,,,,,,,,,,,,
S000121,2022Q4,NET,2022-11-03,,,,,,,,,,,,,,,
S000122,2022Q4,NFE,2022-11-08,,,,,,,,,,,,,,,
S000123,2022Q4,NNBR,2022-11-01,,,,,,,,,,,,,,,
S000124,2022Q4,NRDS,2022-11-02,,,,,,,,,,,,,,,
S000125,2022Q4,NTNX,2022-11-30,,,,,,,,,,,,,,,
S000126,2022Q4,NTRA,2022-11-08,,,,,,,,,,,,,,,
S000127,2022Q4,OFIX,2022-10-11,,,,,,,,,,,,,,,
S000128,2022Q4,OII,2022-10-26,,,,,,,,,,,,,,,
S000129,2022Q4,OKTA,2022-11-30,,,,,,,,,,,,,,,
S000130,2022Q4,ONC,2022-11-09,,,,,,,,,,,,,,,
S000131,2022Q4,OSCR,2022-11-08,,,,,,,,,,,,,,,
S000132,2022Q4,OUT,2022-11-03,,,,,,,,,,,,,,,
S000133,2022Q4,PANW,2022-11-17,,,,,,,,,,,,,,,
S000134,2022Q4,PAR,2022-11-09,,,,,,,,,,,,,,,
S000135,2022Q4,PARR,2022-11-02,,,,,,,,,,,,,,,
S000136,2022Q4,PAYO,2022-11-09,,,,,,,,,,,,,,,
S000137,2022Q4,PBI,2022-11-01,,,,,,,,,,,,,,,
S000138,2022Q4,PD,2022-12-01,,,,,,,,,,,,,,,
S000139,2022Q4,PEG,2022-10-31,,,,,,,,,,,,,,,
S000140,2022Q4,PEGA,2022-10-26,,,,,,,,,,,,,,,
S000141,2022Q4,PLTR,2022-11-07,,,,,,,,,,,,,,,
S000142,2022Q4,PODD,2022-11-03,,,,,,,,,,,,,,,
S000143,2022Q4,POWL,2022-12-05,,,,,,,,,,,,,,,
S000144,2022Q4,PTCT,2022-10-27,,,,,,,,,,,,,,,
S000145,2022Q4,PTEN,2022-10-26,,,,,,,,,,,,,,,
S000146,2022Q4,PTON,2022-11-03,,,,,,,,,,,,,,,
S000147,2022Q4,QTWO,2022-11-07,,,,,,,,,,,,,,,
S000148,2022Q4,RARE,2022-11-02,,,,,,,,,,,,,,,
S000149,2022Q4,RBBN,2022-10-26,,,,,,,,,,,,,,,
S000150,2022Q4,RBLX,2022-10-17,,,,,,,,,,,,,,,
S000151,2022Q4,RCL,2022-11-03,,,,,,,,,,,,,,,
S000152,2022Q4,RDNW,2022-11-09,,,,,,,,,,,,,,,
S000153,2022Q4,REAL,2022-11-08,,,,,,,,,,,,,,,
S000154,2022Q4,RELL,2022-10-05,,,,,,,,,,,,,,,
S000155,2022Q4,RHP,2022-11-01,,,,,,,,,,,,,,,
S000156,2022Q4,RLJ,2022-11-02,,,,,,,,,,,,,,,
S000157,2022Q4,RPD,2022-11-02,,,,,,,,,,,,,,,
S000158,2022Q4,RSI,2022-11-02,,,,,,,,,,,,,,,
S000159,2022Q4,RUN,2022-11-02,,,,,,,,,,,,,,,
S000160,2022Q4,SBRA,2022-11-07,,,,,,,,,,,,,,,
S000161,2022Q4,SFIX,2022-12-06,,,,,,,,,,,,,,,
S000162,2022Q4,SG,2022-11-08,,,,,,,,,,,,,,,
S000163,2022Q4,SGRY,2022-11-08,,,,,,,,,,,,,,,
S000164,2022Q4,SHO,2022-11-08,,,,,,,,,,,,,,,
S000165,2022Q4,SLQT,2022-11-03,,,,,,,,,,,,,,,
S000166,2022Q4,SPHR,2022-11-09,,,,,,,,,,,,,,,
S000167,2022Q4,TENB,2022-10-25,,,,,,,,,,,,,,,
S000168,2022Q4,TRIP,2022-11-07,,,,,,,,,,,,,,,
S000169,2022Q4,TRUP,2022-11-03,,,,,,,,,,,,,,,
S000170,2022Q4,TTMI,2022-11-02,,,,,,,,,,,,,,,
S000171,2022Q4,UIS,2022-11-07,,,,,,,,,,,,,,,
S000172,2022Q4,ULCC,2022-10-26,,,,,,,,,,,,,,,
S000173,2022Q4,UPWK,2022-10-26,,,,,,,,,,,,,,,
S000174,2022Q4,VAC,2022-10-31,,,,,,,,,,,,,,,
S000175,2022Q4,VAL,2022-11-01,,,,,,,,,,,,,,,
S000176,2022Q4,VST,2022-11-04,,,,,,,,,,,,,,,
S000177,2022Q4,WEST,2022-11-14,,,,,,,,,,,,,,,
S000178,2022Q4,WK,2022-11-02,,,,,,,,,,,,,,,
S000179,2022Q4,WLDN,2022-11-03,,,,,,,,,,,,,,,
S000180,2022Q4,WTI,2022-11-09,,,,,,,,,,,,,,,
S000181,2022Q4,WTTR,2022-11-02,,,,,,,,,,,,,,,
S000182,2022Q4,WYNN,2022-11-09,,,,,,,,,,,,,,,
S000183,2022Q4,XHR,2022-11-02,,,,,,,,,,,,,,,
S000184,2022Q4,YOU,2022-11-14,,,,,,,,,,,,,,,
S000185,2022Q4,Z,2022-11-02,,,,,,,,,,,,,,,
S000186,2022Q4,ZETA,2022-11-01,,,,,,,,,,,,,,,
S000187,2022Q4,ZG,2022-11-02,,,,,,,,,,,,,,,
S000188,2022Q4,ZS,2022-12-01,,,,,,,,,,,,,,,
S000189,2023Q2,ABNB,2023-05-09,,,,,,,,,,,,,,,
S000190,2023Q2,ACAD,2023-05-08,,,,,,,,,,,,,,,
S000191,2023Q2,ACVA,2023-05-10,,,,,,,,,,,,,,,
S000192,2023Q2,AEO,2023-05-24,,,,,,,,,,,,,,,
S000193,2023Q2,AFRM,2023-05-09,,,,,,,,,,,,,,,
S000194,2023Q2,AI,2023-05-15,,,,,,,,,,,,,,,
S000195,2023Q2,AIOT,2023-05-09,,,,,,,,,,,,,,,
S000196,2023Q2,ALGT,2023-05-03,,,,,,,,,,,,,,,
S000197,2023Q2,ALKS,2023-04-26,,,,,,,,,,,,,,,
S000198,2023Q2,ALTG,2023-05-10,,,,,,,,,,,,,,,
S000199,2023Q2,AMC,2023-05-05,,,,,,,,,,,,,,,
S000200,2023Q2,APO,2023-05-09,,,,,,,,,,,,,,,
S000201,2023Q2,APP,2023-05-10,,,,,,,,,,,,,,,
S000202,2023Q2,APPN,2023-05-09,,,,,,,,,,,,,,,
S000203,2023Q2,ARLO,2023-05-11,,,,,,,,,,,,,,,
S000204,2023Q2,ARWR,2023-05-02,,,,,,,,,,,,,,,
S000205,2023Q2,ASAN,2023-06-01,,,,,,,,,,,,,,,
S000206,2023Q2,AVAV,2023-06-27,,,,,,,,,,,,,,,
S000207,2023Q2,BARK,2023-06-01,,,,,,,,,,,,,,,
S000208,2023Q2,BBT,2023-04-20,,,,,,,,,,,,,,,
S000209,2023Q2,BE,2023-05-09,,,,,,,,,,,,,,,
S000210,2023Q2,BHF,2023-04-17,,,,,,,,,,,,,,,
S000211,2023Q2,BHFAL,2023-04-17,,,,,,,,,,,,,,,
S000212,2023Q2,BHFAM,2023-04-17,,,,,,,,,,,,,,,
S000213,2023Q2,BHFAN,2023-04-17,,,,,,,,,,,,,,,
S000214,2023Q2,BHFAO,2023-04-17,,,,,,,,,,,,,,,
S000215,2023Q2,BHFAP,2023-04-17,,,,,,,,,,,,,,,
S000216,2023Q2,BHR,2023-05-02,,,,,,,,,,,,,,,
S000217,2023Q2,BLBD,2023-05-11,,,,,,,,,,,,,,,
S000218,2023Q2,BNED,2023-05-31,,,,,,,,,,,,,,,
S000219,2023Q2,BTU,2023-04-27,,,,,,,,,,,,,,,
S000220,2023Q2,CBT,2023-05-08,,,,,,,,,,,,,,,
S000221,2023Q2,CCL,2023-06-26,,,,,,,,,,,,,,,
S000222,2023Q2,CDRE,2023-05-09,,,,,,,,,,,,,,,
S000223,2023Q2,CFLT,2023-05-03,,,,,,,,,,,,,,,
S000224,2023Q2,CHEF,2023-05-03,,,,,,,,,,,,,,,
S000225,2023Q2,CMCO,2023-04-26,,,,,,,,,,,,,,,
S000226,2023Q2,COIN,2023-05-04,,,,,,,,,,,,,,,
S000227,2023Q2,COMP,2023-05-09,,,,,,,,,,,,,,,
S000228,2023Q2,COOK,2023-05-10,,,,,,,,,,,,,,,
S000229,2023Q2,CRSR,2023-05-10,,,,,,,,,,,,,,,
S000230,2023Q2,CTOS,2023-05-09,,,,,,,,,,,,,,,
S000231,2023Q2,CVI,2023-05-01,,,,,,,,,,,,,,,
S000232,2023Q2,CVNA,2023-05-04,,,,,,,,,,,,,,,
S000233,2023Q2,CWK,2023-05-04,,,,,,,,,,,,,,,
S000234,2023Q2,CXM,2023-06-05,,,,,,,,,,,,,,,
S000235,2023Q2,CZR,2023-05-02,,,,,,,,,,,,,,,
S000236,2023Q2,DASH,2023-05-04,,,,,,,,,,,,,,,
S000237,2023Q2,DBD,2023-05-03,,,,,,,,,,,,,,,
S000238,2023Q2,DDD,2023-05-09,,,,,,,,,,,,,,,
S000239,2023Q2,DDOG,2023-05-04,,,,,,,,,,,,,,,
S000240,2023Q2,DK,2023-04-05,,,,,,,,,,,,,,,
S000241,2023Q2,DOCN,2023-05-09,,,,,,,,,,,,,,,
S000242,2023Q2,DRH,2023-05-04,,,,,,,,,,,,,,,
S000243,2023Q2,DRVN,2023-05-03,,,,,,,,,,,,,,,
S000244,2023Q2,DSGR,2023-05-04,,,,,,,,,,,,,,,
S000245,2023Q2,DUOL,2023-05-09,,,,,,,,,,,,,,,
S000246,2023Q2,DXPE,2023-04-17,,,,,,,,,,,,,,,
S000247,2023Q2,EEX,2023-05-03,,,,,,,,,,,,,,,
S000248,2023Q2,EQT,2023-04-13,,,,,,,,,,,,,,,
S000249,2023Q2,ESRT,2023-04-26,,,,,,,,,,,,,,,
S000250,2023Q2,EVCM,2023-05-09,,,,,,,,,,,,,,,
S000251,2023Q2,EVER,2023-05-08,,,,,,,,,,,,,,,
S000252,2023Q2,EVH,2023-05-03,,,,,,,,,,,,,,,
S000253,2023Q2,EXAS,2023-05-09,,,,,,,,,,,,,,,
S000254,2023Q2,EXE,2023-05-02,,,,,,,,,,,,,,,
S000255,2023Q2,EXPE,2023-05-04,,,,,,,,,,,,,,,
S000256,2023Q2,FET,2023-05-04,,,,,,,,,,,,,,,
S000257,2023Q2,FG,2023-05-03,,,,,,,,,,,,,,,
S000258,2023Q2,FLNC,2023-05-10,,,,,,,,,,,,,,,
S000259,2023Q2,FSLR,2023-04-27,,,,,,,,,,,,,,,
S000260,2023Q2,FTAI,2023-04-26,,,,,,,,,,,,,,,
S000261,2023Q2,FUBO,2023-05-05,,,,,,,,,,,,,,,
S000262,2023Q2,GBTG,2023-05-09,,,,,,,,,,,,,,,
S000263,2023Q2,GDRX,2023-04-25,,,,,,,,,,,,,,,
S000264,2023Q2,GPOR,2023-05-02,,,,,,,,,,,,,,,
S000265,2023Q2,GRPN,2023-05-10,,,,,,,,,,,,,,,
S000266,2023Q2,GTLB,2023-06-05,,,,,,,,,,,,,,,
S000267,2023Q2,HIMS,2023-05-08,,,,,,,,,,,,,,,
S000268,2023Q2,HLMN,2023-05-09,,,,,,,,,,,,,,,
S000269,2023Q2,HP,2023-04-26,,,,,,,,,,,,,,,
S000270,2023Q2,HST,2023-05-03,,,,,,,,,,,,,,,
S000271,2023Q2,IAC,2023-05-09,,,,,,,,,,,,,,,
S000272,2023Q2,INSW,2023-05-05,,,,,,,,,,,,,,,
S000273,2023Q2,INTA,2023-05-08,,,,,,,,,,,,,,,
S000274,2023Q2,IONS,2023-05-03,,,,,,,,,,,,,,,
S000275,2023Q2,JBLU,2023-04-25,,,,,,,,,,,,,,,
S000276,2023Q2,KELYA,2023-05-11,,,,,,,,,,,,,,,
S000277,2023Q2,KEQU,2023-06-28,,,,,,,,,,,,,,,
S000278,2023Q2,KLXE,2023-05-10,,,,,,,,,,,,,,,
S000279,2023Q2,LE,2023-06-01,,,,,,,,,,,,,,,
S000280,2023Q2,LESL,2023-05-03,,,,,,,,,,,,,,,
S000281,2023Q2,LFCR,2023-06-01,,,,,,,,,,,,,,,
S000282,2023Q2,LFST,2023-05-10,,,,,,,,,,,,,,,
S000283,2023Q2,LIVN,2023-04-14,,,,,,,,,,,,,,,
S000284,2023Q2,LMB,2023-05-08,,,,,,,,,,,,,,,
S000285,2023Q2,LPSN,2023-05-09,,,,,,,,,,,,,,,
S000286,2023Q2,LTH,2023-04-25,,,,,,,,,,,,,,,
S000287,2023Q2,LUV,2023-04-27,,,,,,,,,,,,,,,
S000288,2023Q2,LXU,2023-05-02,,,,,,,,,,,,,,,
S000289,2023Q2,LYFT,2023-05-04,,,,,,,,,,,,,,,
S000290,2023Q2,MAC,2023-05-04,,,,,,,,,,,,,,,
S000291,2023Q2,MAGN,2023-05-04,,,,,,,,,,,,,,,
S000292,2023Q2,MBLY,2023-04-27,,,,,,,,,,,,,,,
S000293,2023Q2,MCS,2023-05-04,,,,,,,,,,,,,,,
S000294,2023Q2,MCY,2023-05-02,,,,,,,,,,,,,,,
S000295,2023Q2,MDB,2023-06-01,,,,,,,,,,,,,,,
S000296,2023Q2,MEG,2023-05-09,,,,,,,,,,,,,,,
S000297,2023Q2,MELI,2023-05-03,,,,,,,,,,,,,,,
S000298,2023Q2,MGNI,2023-05-10,,,,,,,,,,,,,,,
S000299,2023Q2,MIR,2023-05-03,,,,,,,,,,,,,,,
S000300,2023Q2,MQ,2023-05-09,,,,,,,,,,,,,,,
S000301,2023Q2,MRCY,2023-05-02,,,,,,,,,,,,,,,
S000302,2023Q2,MTW,2023-05-02,,,,,,,,,,,,,,,
S000303,2023Q2,NATR,2023-05-09,,,,,,,,,,,,,,,
S000304,2023Q2,NCLH,2023-05-01,,,,,,,,,,,,,,,
S000305,2023Q2,NDLS,2023-05-10,,,,,,,,,,,,,,,
S000306,2023Q2,NE,2023-05-04,,,,,,,,,,,,,,,
S000307,2023Q2,NET,2023-04-27,,,,,,,,,,,,,,,
S000308,2023Q2,NRDS,2023-05-02,,,,,,,,,,,,,,,
S000309,2023Q2,NTNX,2023-05-24,,,,,,,,,,,,,,,
S000310,2023Q2,NTRA,2023-05-09,,,,,,,,,,,,,,,
S000311,2023Q2,NVRI,2023-05-03,,,,,,,,,,,,,,,
S000312,2023Q2,OFIX,2023-05-09,,,,,,,,,,,,,,,
S000313,2023Q2,OKTA,2023-05-31,,,,,,,,,,,,,,,
S000314,2023Q2,ONC,2023-04-25,,,,,,,,,,,,,,,
S000315,2023Q2,OSW,2023-05-03,,,,,,,,,,,,,,,
S000316,2023Q2,OUT,2023-05-03,,,,,,,,,,,,,,,
S000317,2023Q2,PARR,2023-05-04,,,,,,,,,,,,,,,
S000318,2023Q2,PBF,2023-05-05,,,,,,,,,,,,,,,
S000319,2023Q2,PD,2023-06-01,,,,,,,,,,,,,,,
S000320,2023Q2,PEGA,2023-04-26,,,,,,,,,,,,,,,
S000321,2023Q2,PKOH,2023-05-03,,,,,,,,,,,,,,,
S000322,2023Q2,PLCE,2023-05-24,,,,,,,,,,,,,,,
S000323,2023Q2,PLTR,2023-05-08,,,,,,,,,,,,,,,
S000324,2023Q2,POWL,2023-05-03,,,,,,,,,,,,,,,
S000325,2023Q2,PRSU,2023-05-04,,,,,,,,,,,,,,,
S000326,2023Q2,PTCT,2023-04-27,,,,,,,,,,,,,,,
S000327,2023Q2,PTON,2023-05-04,,,,,,,,,,,,,,,
S000328,2023Q2,QTWO,2023-05-09,,,,,,,,,,,,,,,
S000329,2023Q2,RAMP,2023-05-24,,,,,,,,,,,,,,,
S000330,2023Q2,RARE,2023-05-04,,,,,,,,,,,,,,,
S000331,2023Q2,RBLX,2023-04-17,,,,,,,,,,,,,,,
S000332,2023Q2,RCL,2023-05-04,,,,,,,,,,,,,,,
S000333,2023Q2,REAL,2023-05-09,,,,,,,,,,,,,,,
S000334,2023Q2,RELY,2023-05-03,,,,,,,,,,,,,,,
S000335,2023Q2,RHP,2023-04-06,,,,,,,,,,,,,,,
S000336,2023Q2,RLJ,2023-05-04,,,,,,,,,,,,,,,
S000337,2023Q2,ROKU,2023-04-26,,,,,,,,,,,,,,,
S000338,2023Q2,RPD,2023-05-09,,,,,,,,,,,,,,,
S000339,2023Q2,RRGB,2023-05-24,,,,,,,,,,,,,,,
S000340,2023Q2,RUN,2023-05-03,,,,,,,,,,,,,,,
S000341,2023Q2,SG,2023-05-04,,,,,,,,,,,,,,,
S000342,2023Q2,SGRY,2023-05-01,,,,,,,,,,,,,,,
S000343,2023Q2,SHAK,2023-05-04,,,,,,,,,,,,,,,
S000344,2023Q2,SIG,2023-06-08,,,,,,,,,,,,,,,
S000345,2023Q2,SKYW,2023-04-27,,,,,,,,,,,,,,,
S000346,2023Q2,SLQT,2023-05-10,,,,,,,,,,,,,,,
S000347,2023Q2,SMHI,2023-04-21,,,,,,,,,,,,,,,
S000348,2023Q2,SNCY,2023-04-27,,,,,,,,,,,,,,,
S000349,2023Q2,SPHR,2023-05-10,,,,,,,,,,,,,,,
S000350,2023Q2,SPNT,2023-05-03,,,,,,,,,,,,,,,
S000351,2023Q2,SWIM,2023-05-09,,,,,,,,,,,,,,,
S000352,2023Q2,TDAY,2023-05-04,,,,,,,,,,,,,,,
S000353,2023Q2,TEAD,2023-05-09,,,,,,,,,,,,,,,
S000354,2023Q2,TNDM,2023-05-03,,,,,,,,,,,,,,,
S000355,2023Q2,TRN,2023-05-02,,,,,,,,,,,,,,,
S000356,2023Q2,TRUP,2023-05-04,,,,,,,,,,,,,,,
S000357,2023Q2,UFCS,2023-05-08,,,,,,,,,,,,,,,
S000358,2023Q2,UIS,2023-05-02,,,,,,,,,,,,,,,
S000359,2023Q2,ULCC,2023-05-03,,,,,,,,,,,,,,,
S000360,2023Q2,UPWK,2023-05-03,,,,,,,,,,,,,,,
S000361,2023Q2,UTZ,2023-05-11,,,,,,,,,,,,,,,
S000362,2023Q2,VAL,2023-05-02,,,,,,,,,,,,,,,
S000363,2023Q2,VERX,2023-05-10,,,,,,,,,,,,,,,
S000364,2023Q2,VRT,2023-04-26,,,,,,,,,,,,,,,
S000365,2023Q2,WDAY,2023-05-25,,,,,,,,,,,,,,,
S000366,2023Q2,WEST,2023-05-11,,,,,,,,,,,,,,,
S000367,2023Q2,WFRD,2023-04-25,,,,,,,,,,,,,,,
S000368,2023Q2,WK,2023-05-02,,,,,,,,,,,,,,,
S000369,2023Q2,WRBY,2023-05-09,,,,,,,,,,,,,,,
S000370,2023Q2,WYNN,2023-05-09,,,,,,,,,,,,,,,
S000371,2023Q2,XHR,2023-05-02,,,,,,,,,,,,,,,
S000372,2023Q2,XPER,2023-05-09,,,,,,,,,,,,,,,
S000373,2023Q2,ZETA,2023-05-04,,,,,,,,,,,,,,,
