ticker,name,index_membership,indexes,present_in_combined_all_tiers,missing_from
MRK,Merck & Co.,SPY,DOW;SPY,False,pre_llm_current_universe
MS,Morgan Stanley,SPY,SPY,False,pre_llm_current_universe
NEE,NextEra Energy,SPY,SPY,False,pre_llm_current_universe
NKE,"Nike, Inc.",SPY,DOW;SPY,False,pre_llm_current_universe
ORCL,Oracle Corporation,SPY,SPY,False,pre_llm_current_universe
PFE,Pfizer,SPY,SPY,False,pre_llm_current_universe
PG,Procter & Gamble,SPY,DOW;SPY,False,pre_llm_current_universe
PGR,Progressive Corporation,SPY,SPY,False,pre_llm_current_universe
PH,Parker Hannifin,SPY,SPY,False,pre_llm_current_universe
PRU,Prudential Financial,SPY,SPY,False,pre_llm_current_universe
PSKY,Paramount Skydance Corporation,SPY,SPY,False,pre_llm_current_universe
PSX,Phillips 66,SPY,SPY,False,pre_llm_current_universe
Q,Qnity Electronics,SPY,SPY,False,pre_llm_current_universe
RF,Regions Financial Corporation,SPY,SPY,False,pre_llm_current_universe
RTX,RTX Corporation,SPY,SPY,False,pre_llm_current_universe
SATS,EchoStar,SPY,SPY,False,pre_llm_current_universe
SW,Smurfit Westrock,SPY,SPY,False,pre_llm_current_universe
SYF,Synchrony Financial,SPY,SPY,False,pre_llm_current_universe
SYY,Sysco,SPY,SPY,False,pre_llm_current_universe
T,AT&T,SPY,SPY,False,pre_llm_current_universe
TFC,Truist Financial,SPY,SPY,False,pre_llm_current_universe
TGT,Target Corporation,SPY,SPY,False,pre_llm_current_universe
TMO,Thermo Fisher Scientific,SPY,SPY,False,pre_llm_current_universe
TSN,Tyson Foods,SPY,SPY,False,pre_llm_current_universe
UAL,United Airlines Holdings,SPY,SPY,False,pre_llm_current_universe
UNH,UnitedHealth Group,SPY,DOW;SPY,False,pre_llm_current_universe
UPS,United Parcel Service,SPY,SPY,False,pre_llm_current_universe
V,Visa Inc.,SPY,DOW;SPY,False,pre_llm_current_universe
VICI,Vici Properties,SPY,SPY,False,pre_llm_current_universe
VLO,Valero Energy,SPY,SPY,False,pre_llm_current_universe
VZ,Verizon,SPY,DOW;SPY,False,pre_llm_current_universe
WFC,Wells Fargo,SPY,SPY,False,pre_llm_current_universe
XOM,ExxonMobil,SPY,SPY,False,pre_llm_current_universe
AAPL,Apple Inc.,SPY;QQQ,DOW;QQQ;SPY,False,pre_llm_current_universe
ADP,Automatic Data Processing,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
AMAT,Applied Materials,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
AMZN,Amazon,SPY;QQQ,DOW;QQQ;SPY,False,pre_llm_current_universe
AVGO,Broadcom,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
CHTR,Charter Communications,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
CMCSA,Comcast,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
COST,Costco,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
CRWD,CrowdStrike,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
CSCO,Cisco,SPY;QQQ,DOW;QQQ;SPY,False,pre_llm_current_universe
GOOG,Alphabet Inc. (Class C),SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
GOOGL,Alphabet Inc. (Class A),SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
INTC,Intel,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
INTU,Intuit,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
KHC,Kraft Heinz,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
LRCX,Lam Research,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
META,Meta Platforms,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
MSFT,Microsoft,SPY;QQQ,DOW;QQQ;SPY,False,pre_llm_current_universe
MU,Micron Technology,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
PAYX,Paychex,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
PEP,PepsiCo,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
QCOM,Qualcomm,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
SBUX,Starbucks,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
TMUS,T-Mobile US,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
TSLA,"Tesla, Inc.",SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
TXN,Texas Instruments,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
WBD,Warner Bros. Discovery,SPY;QQQ,QQQ;SPY,False,pre_llm_current_universe
WMT,Walmart,SPY;QQQ,DOW;QQQ;SPY,False,pre_llm_current_universe
