quarter,ticker,cik,metadata_status,has_10q_10k_before_or_in_qtr,latest_10q_10k_form,latest_10q_10k_filing_date,latest_10q_10k_accession,item_202_8k_count_in_qtr,item_202_8k_with_ex99_count,item_202_8k_dates,item_202_8k_accessions,ex99_1_documents,passes_metadata_gate,metadata_gate_reason
2024Q3,AMPH,1297184,ok,True,10-Q,2024-08-09,0001297184-24-000048,1,1,2024-08-07,0001297184-24-000045,amph-20240807xex99d1.htm,True,included
2024Q3,AMPL,1866692,ok,True,10-Q,2024-08-08,0000950170-24-093925,1,1,2024-08-08,0000950170-24-093897,ampl-ex99_1.htm,True,included
2024Q3,AMR,1704715,ok,True,10-Q,2024-08-05,0001704715-24-000119,1,1,2024-08-05,0001704715-24-000117,pressrelease6302024.htm,True,included
2024Q3,AMRC,1488139,ok,True,10-Q,2024-08-06,0001488139-24-000139,1,0,2024-08-05,0001488139-24-000136,,False,missing_ex99_1_for_item_202
2024Q3,AMRN,897448,ok,True,10-Q,2024-07-31,0000950170-24-088233,1,1,2024-07-31,0000950170-24-088234,amrn-ex99_1.htm,True,included
2024Q3,AMRX,1723128,ok,True,10-Q,2024-08-09,0001723128-24-000032,1,1,2024-08-09,0001723128-24-000030,amrx-q22024ex992.htm;amrx-q22024xex991ipx203app.htm,True,included
2024Q3,AMSC,880807,ok,True,10-Q,2024-08-06,0001437749-24-024886,1,0,2024-08-06,0001437749-24-024881,,False,missing_ex99_1_for_item_202
2024Q3,AMSF,1018979,ok,True,10-Q,2024-07-30,0000950170-24-087848,1,1,2024-07-29,0001193125-24-187560,d870202dex991.htm,True,included
2024Q3,AMST,1807166,ok,True,10-K,2024-09-30,0001213900-24-083458,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,AMT,1053507,ok,True,10-Q,2024-07-30,0001053507-24-000105,1,1,2024-07-30,0001053507-24-000103,pressreleaseq22024.htm,True,included
2024Q3,AMTX,738214,ok,True,10-Q,2024-08-05,0001437749-24-024542,1,0,2024-08-01,0001437749-24-024202,,False,missing_ex99_1_for_item_202
2024Q3,AMWD,794619,ok,True,10-Q,2024-08-27,0000794619-24-000070,1,1,2024-08-27,0000794619-24-000067,ex991202407318k.htm,True,included
2024Q3,AMZN,1018724,ok,True,10-Q,2024-08-02,0001018724-24-000130,1,1,2024-08-01,0001018724-24-000128,amzn-20240630xex991.htm;amzn-20240630xex992.htm,True,included
2024Q3,ANAB,1370053,ok,True,10-Q,2024-08-05,0001370053-24-000041,1,1,2024-08-05,0001370053-24-000039,q22024earningsrelease.htm,True,included
2024Q3,ANDE,821026,ok,True,10-Q,2024-08-07,0000821026-24-000185,1,1,2024-08-06,0000821026-24-000179,q22024ex-99pressrelease.htm,True,included
2024Q3,ANET,1596532,ok,True,10-Q,2024-07-31,0001596532-24-000279,1,1,2024-07-30,0001596532-24-000277,ex991q224-earningsrelease.htm,True,included
2024Q3,ANF,1018840,ok,True,10-Q,2024-09-06,0001018840-24-000071,1,1,2024-08-29,0001018840-24-000066,q22024investorpresentati.htm;q22024pressrelease.htm,True,included
2024Q3,ANGI,1705110,ok,True,10-Q,2024-08-07,0001705110-24-000078,1,1,2024-08-15,0001705110-24-000082,q22024earningsrelease1.htm,True,included
2024Q3,ANGO,1275187,ok,True,10-K,2024-07-25,0001628280-24-032989,2,2,2024-07-16;2024-07-16,0001140361-24-033242;0001140361-24-033240,ef20032488_ex99-1.htm;ef20032488_ex99-2.htm;ef20032494_ex99-1.htm,True,included
2024Q3,ANIK,898437,ok,True,10-Q,2024-08-08,0001171843-24-004615,1,0,2024-08-08,0001171843-24-004607,,False,missing_ex99_1_for_item_202
2024Q3,ANIP,1023024,ok,True,10-Q,2024-08-06,0001023024-24-000085,1,0,2024-08-06,0001023024-24-000083,,False,missing_ex99_1_for_item_202
2024Q3,ANY,1591956,ok,True,10-Q,2024-08-13,0001591956-24-000015,1,1,2024-08-13,0001062993-24-014982,exhibit99-1.htm,True,included
2024Q3,AON,315293,ok,True,10-Q,2024-07-26,0001628280-24-033161,1,1,2024-07-26,0001628280-24-033048,ex991prq22024.htm,True,included
2024Q3,AORT,784199,ok,True,10-Q,2024-08-09,0000784199-24-000215,1,1,2024-08-08,0000784199-24-000211,aort-2024x8k63024ex991.htm,True,included
2024Q3,AOS,91142,ok,True,10-Q,2024-07-24,0000091142-24-000151,1,1,2024-07-23,0000091142-24-000147,a6302024exhibit991.htm,True,included
2024Q3,AOSL,1387467,ok,True,10-K,2024-08-23,0001387467-24-000073,1,1,2024-08-07,0001387467-24-000066,exhibit991earningreleaseju.htm;exhibit992earningreleaseju.htm,True,included
2024Q3,APAM,1517302,ok,True,10-Q,2024-07-26,0001517302-24-000057,1,1,2024-07-23,0001517302-24-000052,artisan2q24earningsrelease.htm;artisan2q24pressrelease.htm,True,included
2024Q3,APD,2969,ok,True,10-Q,2024-08-01,0000002969-24-000043,1,1,2024-08-01,0000002969-24-000041,exhibit99130jun24.htm,True,included
2024Q3,APEI,1201792,ok,True,10-Q,2024-08-06,0001201792-24-000013,1,1,2024-08-06,0001104659-24-086254,tm2420705d1_ex99-1.htm;tm2420705d1_ex99-2.htm,True,included
2024Q3,APH,820313,ok,True,10-Q,2024-07-26,0001558370-24-010246,1,1,2024-07-24,0001558370-24-010011,aph-20240724xex99d1.htm,True,included
2024Q3,APLD,0001144879,ok,True,10-K,2024-08-30,0001144879-24-000216,3,1,2024-07-09;2024-07-19;2024-08-28,0001144879-24-000187;0001144879-24-000191;0001144879-24-000210,apldq424earningsrelease.htm,True,included
2024Q3,APLE,1418121,ok,True,10-Q,2024-08-05,0000950170-24-090771,1,1,2024-08-05,0000950170-24-090772,aple-ex99_1.htm,True,included
